name,release,value
ankidroid,2.1.3,52.883712
ankidroid,2.1.3,53.186328
ankidroid,2.1.3,52.883712
ankidroid,2.2.2,52.23024
ankidroid,2.2.2,48.92652
ankidroid,2.2.2,49.072608
ankidroid,2.5.1,57.73644
ankidroid,2.5.1,56.150388
ankidroid,2.5.1,56.137536
ankidroid,2.6.0,56.452032
ankidroid,2.6.0,55.508544
ankidroid,2.6.0,55.678536
ankidroid,2.8.1,61.812612
ankidroid,2.8.1,57.238272
ankidroid,2.8.1,56.740536
ankidroid,2.8.4,57.36924
ankidroid,2.8.4,57.225168
ankidroid,2.8.4,57.238272
ankidroid,2.9.1,57.067956
ankidroid,2.9.1,57.552768
ankidroid,2.9.1,57.081024
ankidroid,2.9.4,64.142496
ankidroid,2.9.4,57.683592
ankidroid,2.9.4,57.539592
ankidroid,2.9.7,57.539592
ankidroid,2.9.7,57.225168
ankidroid,2.9.7,57.212064
ankidroid,2.10.2,57.212064
ankidroid,2.10.2,56.740536
ankidroid,2.10.2,56.897712
ankidroid,2.11.0,55.967472
ankidroid,2.11.0,57.539592
ankidroid,2.11.0,57.212064
ankidroid,2.11.3,58.626648
ankidroid,2.11.3,58.011228
ankidroid,2.11.3,56.740536
ankidroid,2.12.0,61.91316
ankidroid,2.12.0,57.840768
ankidroid,2.12.0,57.840768
ankidroid,2.13.0,57.04182
ankidroid,2.13.0,57.526416
ankidroid,2.13.0,57.212064
ankidroid,2.13.5,57.840768
ankidroid,2.13.5,56.426184
ankidroid,2.13.5,56.72754
ankidroid,2.14.1,59.55606
ankidroid,2.14.1,57.683592
ankidroid,2.14.1,57.36924
ankidroid,2.14.5,58.9275
ankidroid,2.14.5,57.98466
ankidroid,2.14.5,56.714544
ankidroid,2.15.0,58.52304
ankidroid,2.15.0,57.251376
ankidroid,2.15.0,57.565944
ankidroid,2.15.3,58.2084
ankidroid,2.15.3,58.05108
ankidroid,2.15.3,58.037796
ankidroid,2.15.6,59.76792
ankidroid,2.15.6,60.239772
ankidroid,2.15.6,59.385312
ankidroid,2.16.8,62.895312
ankidroid,2.16.8,61.302528
ankidroid,2.16.8,60.9174
ankidroid,2.16.14,60.423084
ankidroid,2.16.14,60.054984
ankidroid,2.16.14,58.810752
ankidroid,2.16.19,60.34176
ankidroid,2.16.19,59.569704
ankidroid,2.16.19,59.72688
ankidroid,2.16.25,57.90852
ankidroid,2.16.25,57.552768
ankidroid,2.16.25,57.36924
ankidroid,2.16.34,62.18046
ankidroid,2.16.34,63.3312
ankidroid,2.16.34,63.172872
ankidroid,2.16.37,64.756152
ankidroid,2.16.37,63.3312
ankidroid,2.16.37,61.74792
ankidroid,2.16.43,57.539592
ankidroid,2.16.43,58.77036
ankidroid,2.16.43,57.997944
ankidroid,2.16.45,57.43494
ankidroid,2.16.45,58.45608
ankidroid,2.16.45,59.228208
ankidroid,2.16.50,58.968
ankidroid,2.16.50,58.77036
ankidroid,2.16.50,59.39892
ankidroid,2.16.55,58.810752
ankidroid,2.16.55,58.05432
ankidroid,2.16.55,58.666932
ankidroid,2.16.60,60.58206
ankidroid,2.16.60,59.323212
ankidroid,2.16.60,58.995
