name,release,value
wifianalyzer,2.0.2,74.94336
wifianalyzer,2.0.2,74.9088
wifianalyzer,2.0.2,77.441472
wifianalyzer,2.0.4,77.62716
wifianalyzer,2.0.4,75.672072
wifianalyzer,2.0.4,75.722868
wifianalyzer,2.1.2,76.807296
wifianalyzer,2.1.2,76.702464
wifianalyzer,2.1.2,76.456512
wifianalyzer,3.0.1,77.351976
wifianalyzer,3.0.1,76.211604
wifianalyzer,3.0.1,77.105736
wifianalyzer,3.0.2,77.105736
wifianalyzer,3.0.2,77.21136
wifianalyzer,3.0.2,77.105736
wifianalyzer,3.0.3,77.140728
wifianalyzer,3.0.3,77.105736
wifianalyzer,3.0.3,77.105736
wifianalyzer,3.0.4,77.105736
wifianalyzer,3.0.4,76.86
wifianalyzer,3.0.4,76.789728
wifianalyzer,3.0.5,76.789728
wifianalyzer,3.0.5,76.475016
wifianalyzer,3.0.5,76.45752
wifianalyzer,3.0.6,76.894272
wifianalyzer,3.0.6,76.737024
wifianalyzer,3.0.6,76.579776
wifianalyzer,3.0.7,83.498688
wifianalyzer,3.0.7,83.774808
wifianalyzer,3.0.7,83.793996
wifianalyzer,3.0.9,84.08916
wifianalyzer,3.0.9,84.08916
wifianalyzer,3.0.9,83.931984
