device,subject,browser,Battery Power* [uW] (Delta),Battery Power* [uW] (Raw)
nexus6p-wifi,192-168-0-243-5000-jhu-index-critical-html,firefox,532610.3410222855,854262.269945946
nexus6p-wifi,192-168-0-243-5000-jhu-index-critical-html,chrome,309462.57972972974,532133.045945946
nexus6p-wifi,192-168-0-243-5000-cam-index-critical-html,firefox,480867.10395516286,734300.3357318927
nexus6p-wifi,192-168-0-243-5000-cam-index-critical-html,chrome,234218.495045045,473855.7887387387
nexus6p-wifi,192-168-0-243-5000-mailchi-index-critical-html,firefox,656226.6553527553,964699.6201123204
nexus6p-wifi,192-168-0-243-5000-mailchi-index-critical-html,chrome,336334.6081081081,564925.6513513513
nexus6p-wifi,192-168-0-243-5000-lazada-index-html,firefox,430073.4081081081,704631.2067567568
nexus6p-wifi,192-168-0-243-5000-lazada-index-html,chrome,436184.8993978839,648467.4941176758
nexus6p-wifi,192-168-0-243-5000-playstation-index-html,firefox,806838.7375591756,1132313.0516685175
nexus6p-wifi,192-168-0-243-5000-playstation-index-html,chrome,412572.5810066382,720230.0324751065
nexus6p-wifi,192-168-0-243-5000-loc-index-html,firefox,316480.3932432432,503153.8702702703
nexus6p-wifi,192-168-0-243-5000-loc-index-html,chrome,208721.87430630633,414482.8024864864
nexus6p-wifi,192-168-0-243-5000-apple-index-html,firefox,891681.7453319475,1103652.4384906443
nexus6p-wifi,192-168-0-243-5000-apple-index-html,chrome,312478.13504504506,507522.0399819819
nexus6p-wifi,192-168-0-243-5000-deviantart-index-html,firefox,304714.362990991,549434.2480180179
nexus6p-wifi,192-168-0-243-5000-deviantart-index-html,chrome,176248.0665045045,337630.69616216223
nexus6p-wifi,192-168-0-243-5000-lencr-index-critical-html,firefox,253767.75405405412,483110.39054054045
nexus6p-wifi,192-168-0-243-5000-lencr-index-critical-html,chrome,92462.34750475782,226142.0131516787
nexus6p-wifi,192-168-0-243-5000-ietf-index-html,firefox,266546.0979099099,466747.42897297296
nexus6p-wifi,192-168-0-243-5000-ietf-index-html,chrome,109177.26702702703,255962.2955495496
nexus6p-wifi,192-168-0-243-5000-xnxx-index-html,firefox,2094585.9821038404,2532599.8071740163
