Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
33,1541432,596049
493,1856706,911323
993,2390938,1445555
1501,2871665,1926282
2003,2249291,1303908
2509,1583454,638071
3009,2559462,1614079
3504,4169067,3223684
4012,2568445,1623062
4521,558056,0
5025,1158827,213444
5522,2087692,1142309
6034,1332729,387346
6533,324201,0
7062,58735,0
7563,98357,0
8002,792060,0
8529,93669,0
9036,78990,0
9526,556976,0
10048,71472,0
10558,133623,0
11063,74763,0
11574,58420,0
12015,530586,0
12506,259065,0
13010,230516,0
13513,163363,0
14031,19183,0
14540,54168,0
15038,30481,0
15539,31352,0
16043,31352,0
16542,26127,0
17044,25256,0
17551,56346,0
18055,33977,0
18564,51945,0
19052,287004,0
19570,125343,0
20076,73409,0
20531,45356,0
21038,33965,0
21542,33965,0
22051,34836,0
22555,52381,0
23064,48771,0
23567,36474,0
24067,93960,0
24575,26998,0
25080,37919,0
25591,34183,0
26046,37449,0
26552,44416,0
27057,47029,0
27563,41072,0
28069,44416,0
28576,61171,0
29083,57417,0
29592,37449,0
30108,50651,0
30566,51922,0
31071,44485,0
31571,201910,0
32077,35707,0
32584,172203,0
33095,42130,0
33598,46158,0
34104,61102,0
34557,33013,0
35068,49070,0
35574,46427,0
36081,44886,0
36581,833985,0
,,
,,
