Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,1158801,687861
497,1095358,624418
996,1463613,992673
1504,2511742,2040802
2008,3324775,2853835
2510,1947906,1476966
3016,2151997,1681057
3511,2769739,2298799
4013,3697016,3226076
4515,2921927,2450987
5018,2991257,2520317
5518,2832166,2361226
6024,2728326,2257386
6527,1763741,1292801
7048,332342,0
7557,1114508,643568
8004,1605753,1134813
8532,96884,0
9011,439532,0
9513,162393,0
10045,57337,0
10551,122743,0
11044,709839,238899
11535,443584,0
12038,147312,0
12539,91792,0
13055,25279,0
13556,23514,0
14066,70612,0
14565,43614,0
15021,27869,0
15521,46541,0
16023,32729,0
16532,46158,0
17039,39027,0
17544,51873,0
18030,272463,0
18547,19160,0
19055,34836,0
19560,33094,0
20064,24385,0
20567,34836,0
21024,40955,0
21533,37472,0
22041,31352,0
22543,30481,0
23046,33965,0
23550,35707,0
24056,50524,0
24561,55005,0
25071,31352,0
25584,55406,0
26096,56401,0
26535,49832,0
27046,37286,0
27557,49124,0
28060,56208,0
28567,46213,0
29072,39191,0
29582,33965,0
30085,40796,0
30590,71553,0
31097,38790,0
31561,101240,0
32066,30481,0
32569,42674,0
33074,61032,0
33580,47568,0
34086,40061,0
34593,40932,0
35104,65325,0
35609,67267,0
36069,44416,0
36569,591376,120436
,,
,,
,,
