Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
49,454689,0
502,828205,302645
1007,1713979,1188419
1508,2170872,1645312
2017,1572686,1047126
2518,1474200,948640
3027,2228963,1703403
3520,4300773,3775213
4025,4818141,4292581
4525,3402797,2877237
5028,2612036,2086476
5536,1981556,1455996
6040,1269789,744229
6568,80388,0
7035,165009,0
7514,270507,0
8014,683724,158164
8541,34482,0
9045,296227,0
9538,608854,83294
10061,57549,0
10564,47982,0
11030,85969,0
11520,379012,0
12019,470883,0
12521,172546,0
13026,211422,0
13543,62341,0
14046,37117,0
14549,75575,0
15052,31352,0
15558,22643,0
16058,39661,0
16559,33094,0
17066,40944,0
17572,36578,0
18077,54065,0
18532,37919,0
19024,246765,0
19547,174078,0
20049,64493,0
20553,61806,0
21058,46158,0
21564,33965,0
22068,32693,0
22571,78050,0
23065,219428,0
23586,48708,0
24101,43614,0
24543,47767,0
25048,68269,0
25553,40061,0
26042,860090,334530
26541,1042542,516982
27071,101645,0
27577,35776,0
28089,32686,0
28597,37449,0
29054,43213,0
29567,26998,0
30077,38076,0
30578,37558,0
31080,68470,0
31583,108309,0
32070,695499,169939
32598,92288,0
33102,80400,0
33560,64385,0
34072,39789,0
34581,40707,0
35086,47969,0
35598,49885,0
36102,51383,0
36588,621802,96242
,,
,,
,,
