Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,1153077,559122
495,1009499,415544
994,1648393,1054438
1503,1596700,1002745
1994,3035866,2441911
2503,2483697,1889742
3006,1606912,1012957
3523,2221770,1627815
4009,2542478,1948523
4513,3077418,2483463
5017,4039331,3445376
5516,2483329,1889374
6020,3072176,2478221
6521,1997070,1403115
7025,2135322,1541367
7530,1111339,517384
8041,113006,0
8520,64242,0
9004,866122,272167
9519,395398,0
10037,99582,0
10546,64866,0
11052,64284,0
11538,729538,135583
12039,467679,0
12543,230870,0
13044,150415,0
13560,21772,0
14051,467512,0
14512,35707,0
15017,84506,0
15518,36578,0
16022,25256,0
16525,40061,0
17032,53125,0
17538,36578,0
18043,37449,0
18548,42674,0
19053,40932,0
19560,36578,0
20064,39191,0
20567,45287,0
21071,62010,0
21532,33094,0
22033,50159,0
22541,43573,0
23044,46158,0
23547,39844,0
24058,60986,0
24560,52778,0
25063,42539,0
25569,50676,0
26081,66108,0
26587,46430,0
27044,82383,0
27554,48771,0
28062,57549,0
28571,40932,0
29077,53561,0
29586,57148,0
30092,46227,0
30550,71553,0
31058,43614,0
31565,40932,0
32073,107066,0
32593,52534,0
33095,46628,0
33602,49911,0
34062,38157,0
34564,36578,0
35071,55046,0
35580,76778,0
36090,49911,0
36575,1089179,495224
,,
,,
,,
