Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,515056,0
505,764692,214992
1002,1717122,1167422
1511,2679504,2129804
2028,1536220,986520
2531,384254,0
3045,50512,0
3550,57668,0
4056,45043,0
4564,45287,0
5023,34836,0
5527,238502,0
6036,148860,0
6545,57480,0
7055,30481,0
7570,48708,0
8012,171638,0
8533,27887,0
9020,437375,0
9552,24385,0
10055,46227,0
10563,44686,0
11070,57549,0
11557,716852,167152
12055,394896,0
12508,107841,0
13011,36662,0
13528,19217,0
14029,26998,0
14530,19160,0
15034,27869,0
15535,26127,0
16041,29611,0
16540,33600,0
17049,21772,0
17553,32693,0
18058,39191,0
18565,22643,0
19069,27869,0
19577,23514,0
20082,26127,0
20536,29611,0
21043,33094,0
21548,41749,0
22051,38320,0
22555,26127,0
23062,31352,0
23567,30481,0
24073,34836,0
24578,22643,0
25087,28740,0
25588,27869,0
26050,42674,0
26563,27869,0
27073,33965,0
27576,33564,0
28082,52054,0
28588,32894,0
29098,56277,0
29607,30481,0
30068,38320,0
30568,56609,0
31077,36177,0
31585,149117,0
32094,47911,0
32595,69684,0
33105,31352,0
33617,74704,0
34069,31080,0
34579,41803,0
35084,32223,0
35591,41001,0
36102,31352,0
36593,462392,0
,,
,,
