Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
53,1032263,242320
501,956857,166914
1002,1485123,695180
1505,1748654,958711
2001,1843320,1053377
2505,3112070,2322127
3007,1441078,651135
3510,1760263,970320
4020,908865,118922
4525,548433,0
5056,143547,0
5536,344164,0
6063,37095,0
6523,61915,0
7026,54065,0
7533,100440,0
8047,58689,0
8556,38320,0
9052,526923,0
9565,119443,0
10025,56411,0
10535,82943,0
11025,438856,0
11519,593453,0
12026,227921,0
12528,88558,0
13043,37449,0
13546,20030,0
14049,42674,0
14550,27869,0
15046,48599,0
15554,25256,0
16061,20901,0
16565,47029,0
17068,26998,0
17575,37939,0
18030,43058,0
18538,30481,0
19047,38990,0
19546,15676,0
20050,43519,0
20555,34836,0
21065,26998,0
21576,37449,0
22076,35435,0
22577,40742,0
23086,45757,0
23538,29611,0
24047,69175,0
24551,46227,0
25057,39055,0
25569,46158,0
26071,107606,0
26580,250726,0
27088,47499,0
27549,35776,0
28060,30481,0
28564,50381,0
29070,36578,0
29578,26127,0
30069,396155,0
30568,914075,124132
31090,907036,117093
31602,1090437,300494
32100,1095662,305719
32559,1142767,352824
33062,1079986,290043
33566,1083469,293526
34080,1004523,214580
34579,1094791,304848
35086,1124430,334487
35597,1090437,300494
36101,1091416,301473
36595,1641603,851660
37083,1196340,406397
,,
,,
