Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
43,360966,0
498,729432,0
994,1536113,705039
1495,2366139,1535065
2005,1567717,736643
2525,184920,0
3041,40061,0
3553,47510,0
4060,40769,0
4540,1099746,268672
5073,39191,0
5513,606068,0
6031,166324,0
6535,63126,0
7047,33988,0
7556,28740,0
8067,22643,0
8528,34905,0
9036,74435,0
9551,35707,0
10059,47791,0
10568,46027,0
11058,616628,0
11556,359396,0
12060,276815,0
12560,98805,0
13027,23514,0
13532,16547,0
14031,27869,0
14533,27869,0
15034,25256,0
15537,18289,0
16042,20901,0
16547,32822,0
17051,24385,0
17556,25256,0
18061,25256,0
18567,34836,0
19074,39191,0
19581,34836,0
20083,28604,0
20522,516246,0
21041,29611,0
21547,44416,0
22052,25256,0
22556,26127,0
23065,30481,0
23569,35707,0
24068,72624,0
24563,516246,0
25083,26127,0
25602,35707,0
26056,35220,0
26567,58333,0
27072,32223,0
27577,34435,0
28086,36578,0
28578,358504,0
29105,63883,0
29613,57930,0
30064,56678,0
30569,65726,0
31074,35054,0
31560,1032172,201098
32089,49579,0
32575,505130,0
33101,44285,0
33604,44634,0
34114,52925,0
34571,30481,0
35078,38990,0
35577,190425,0
36089,22443,0
36579,600829,0
,,
