Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
21,882800,547864
503,519678,184742
999,1461542,1126606
1507,1115362,780426
2006,2885087,2550151
2507,3126700,2791764
3011,2664256,2329320
3514,1646563,1311627
4026,1704665,1369729
4530,424871,89935
5053,101220,0
5564,44921,0
6013,50450,0
6524,60174,0
7032,77317,0
7542,62042,0
8050,50914,0
8563,39653,0
9054,319168,0
9522,50535,0
10028,74119,0
10536,52323,0
11048,49641,0
11559,49923,0
12038,609171,274235
12543,156364,0
13045,151909,0
13564,13934,0
14060,50214,0
14567,30481,0
15072,30481,0
15519,20901,0
16026,19405,0
16531,23242,0
17034,35707,0
17534,40061,0
18039,133201,0
18547,25256,0
19051,26998,0
19561,101634,0
20065,76529,0
20583,47047,0
21032,26127,0
21542,37286,0
22042,26998,0
22548,30481,0
23051,26127,0
23561,27869,0
24063,40932,0
24569,34292,0
25073,28740,0
25580,27951,0
26085,27869,0
26589,43519,0
27047,33965,0
27558,33094,0
28068,34836,0
28576,58758,0
29085,33094,0
29597,33965,0
30056,34905,0
30562,40932,0
31069,41001,0
31573,37449,0
32086,100770,0
32589,40061,0
33102,32894,0
33607,32023,0
34082,47356,0
34574,48370,0
35061,795880,460944
35589,30481,0
36102,47568,0
36608,37518,0
37102,847716,512780
,,
,,
