Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,376797,0
500,738519,189668
1005,1027993,479142
1498,3275036,2726185
2005,3137245,2588394
2503,1964471,1415620
3010,1228091,679240
3537,113340,0
4044,132530,0
4536,129866,0
5053,47900,0
5565,97887,0
5997,289246,0
6521,48771,0
7025,74597,0
7533,43614,0
8043,34836,0
8557,28539,0
9026,43614,0
9534,55841,0
10033,53996,0
10539,33965,0
11045,55951,0
11550,54763,0
12037,1081476,532625
12539,150488,0
13046,171809,0
13546,99740,0
14068,26127,0
14564,28740,0
15068,26127,0
15571,40061,0
16015,147744,0
16527,29611,0
17028,24385,0
17536,39191,0
18042,39191,0
18543,118259,0
19054,44879,0
19555,58351,0
20062,37367,0
20576,46866,0
21074,46227,0
21580,32223,0
22083,38320,0
22540,24385,0
23045,26998,0
23551,38320,0
24057,44906,0
24541,494579,0
25063,33094,0
25565,34836,0
26081,37776,0
26589,38320,0
27093,51261,0
27547,51452,0
28061,34700,0
28563,39191,0
29067,45396,0
29573,44416,0
30080,38119,0
30586,44285,0
31092,33965,0
31588,989472,440621
32107,70493,0
32598,841936,293085
33066,50134,0
33574,74304,0
34081,41603,0
34590,42543,0
35098,51411,0
35608,31352,0
36114,37449,0
36598,581044,32193
,,
,,
,,
