Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
64,662486,276714
542,1013517,627745
992,1428330,1042558
1494,2712417,2326645
1997,4259209,3873437
2501,3128324,2742552
3004,3069279,2683507
3528,730657,344885
4033,516246,130474
4546,59433,0
5039,588354,202582
5562,27668,0
6019,46925,0
6523,83662,0
7034,40932,0
7540,51321,0
8047,40061,0
8552,50651,0
9060,92060,0
9524,144017,0
10037,32246,0
10542,60701,0
11052,115084,0
11556,128129,0
12043,638243,252471
12546,90942,0
13048,63623,0
13564,54736,0
14067,24385,0
14572,19160,0
15076,27869,0
15524,36961,0
16033,26127,0
16533,36578,0
17030,315484,0
17545,26998,0
18050,33094,0
18555,38320,0
19063,30481,0
19569,33965,0
20076,33094,0
20578,52853,0
21034,32223,0
21538,33094,0
22046,36741,0
22553,37449,0
23056,36578,0
23564,38320,0
24053,458886,73114
24560,394355,8583
25082,22643,0
25583,34836,0
26097,37449,0
26547,48771,0
27064,37317,0
27571,33094,0
28080,48639,0
28588,25610,0
29074,259324,0
29602,32223,0
30105,32223,0
30569,42892,0
31072,31352,0
31573,48771,0
32081,32223,0
32589,64447,0
33099,45614,0
33604,49441,0
34114,32223,0
34569,41803,0
35077,36578,0
35578,394355,8583
36079,584284,198512
36575,494424,108652
,,
,,
,,
