Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
57,644048,0
503,1181215,33904
998,1777628,630317
1500,2803365,1656054
2010,2612289,1464978
2516,1814573,667262
3021,1329796,182485
3547,51342,0
4048,50704,0
4550,180576,0
5065,51411,0
5522,43929,0
6028,62488,0
6522,197438,0
7038,37449,0
7553,38320,0
8046,444545,0
8549,354841,0
9076,102492,0
9576,111283,0
10031,89733,0
10538,29611,0
11048,50458,0
11546,92589,0
12033,604184,0
12537,117669,0
13042,73597,0
13555,20065,0
14059,33094,0
14560,26127,0
15068,25256,0
15565,20901,0
16069,37449,0
16575,22643,0
17078,55406,0
17585,22643,0
18040,40061,0
18545,63576,0
19051,38320,0
19556,37449,0
20062,37558,0
20568,35707,0
21068,30481,0
21573,257729,0
22079,35707,0
22586,37449,0
23045,42674,0
23548,31352,0
24040,523416,0
24555,25256,0
25060,38320,0
25564,35816,0
26075,51052,0
26585,53464,0
27091,30481,0
27600,31736,0
28106,53595,0
28568,28740,0
29073,50111,0
29579,36377,0
30084,46628,0
30595,44285,0
31086,237136,0
31605,219101,0
32113,60735,0
32615,104338,0
33075,53915,0
33582,39626,0
34088,48929,0
34596,52534,0
35100,69209,0
35613,33094,0
36119,49641,0
36573,357995,0
,,
,,
