Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
19,2312134,1474618
495,1340718,503202
1001,1437214,599698
1511,684888,0
2003,3351263,2513747
2506,2871247,2033731
3008,2970834,2133318
3513,2286524,1449008
4027,1374574,537058
4518,953622,116106
5049,100745,0
5560,37449,0
6022,44416,0
6526,70212,0
7036,46628,0
7543,38790,0
8046,155925,0
8561,21772,0
9044,759873,0
9519,21772,0
10024,95417,0
10534,51452,0
11026,210124,0
11531,284279,0
12027,356441,0
12528,102269,0
13038,81691,0
13547,13934,0
14051,36578,0
14554,19160,0
15057,58278,0
15563,20901,0
16062,23514,0
16567,27869,0
17069,191709,0
17527,40061,0
18034,51084,0
18537,29611,0
19039,40061,0
19545,33094,0
20052,35816,0
20563,73833,0
21061,19160,0
21566,40061,0
22071,27869,0
22575,37449,0
23082,40932,0
23537,42674,0
24047,48743,0
24545,52793,0
25053,51653,0
25564,29611,0
26074,38790,0
26584,38990,0
27096,32223,0
27551,33564,0
28058,48169,0
28564,43614,0
29074,60162,0
29581,26127,0
30085,35707,0
30597,50851,0
31104,37048,0
31558,30481,0
32072,47818,0
32574,36578,0
33087,46427,0
33594,32693,0
34102,35707,0
34606,33965,0
35067,44172,0
35580,40531,0
36087,27869,0
36578,243205,0
,,
,,
