Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
60,490114,0
505,727529,167576
1008,1573427,1013474
1503,2434132,1874179
2006,3988045,3428092
2510,3530515,2970562
3014,3313944,2753991
3515,1724404,1164451
4019,1451278,891325
4523,1617329,1057376
5031,631515,71562
5551,228392,0
6043,408010,0
6555,205165,0
7053,472780,0
7514,196236,0
8004,960635,400682
8516,312848,0
9023,238896,0
9530,251512,0
10042,231093,0
10547,254264,0
11043,131673,0
11547,238140,0
12044,433605,0
12540,482889,0
13043,325541,0
13548,365292,0
14058,126411,0
14567,111587,0
15064,154794,0
15571,132788,0
16022,159654,0
16530,121630,0
17032,100428,0
17535,146326,0
18040,135020,0
18527,985652,425699
19042,196286,0
19549,133904,0
20054,167607,0
20560,145848,0
21062,160227,0
21563,194400,0
22069,197692,0
22570,221695,0
23073,217080,0
23587,171459,0
24029,268843,0
24533,178200,0
25032,273832,0
25541,192780,0
26043,235496,0
26553,208980,0
27054,345835,0
27560,192780,0
28059,393984,0
28568,214050,0
29070,337468,0
29579,192780,0
30081,295633,0
30538,238896,0
31045,179820,0
31534,1566587,1006634
32050,183060,0
32544,688207,128254
33059,217022,0
33560,374284,0
34069,223606,0
34576,218156,0
35084,274682,0
35579,246540,0
36084,222790,0
36576,946452,386499
,,
,,
