Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
15,943438,468384
496,843717,368663
1000,456478,0
1503,2345274,1870220
1999,2870747,2395693
2501,3629635,3154581
3015,3718026,3242972
3509,5005825,4530771
4012,4155021,3679967
4509,3305459,2830405
5013,1812077,1337023
5516,1126301,651247
6026,1095516,620462
6530,736452,261398
7054,97474,0
7562,51383,0
8050,544927,69873
8546,569944,94890
9014,59222,0
9520,64458,0
10023,167878,0
10531,71333,0
11035,59222,0
11527,513661,38607
12049,117861,0
12538,652478,177424
13033,506694,31640
13537,220877,0
14038,159857,0
14555,57114,0
15059,44416,0
15574,57480,0
16069,44416,0
16520,56800,0
17032,37449,0
17526,48771,0
18017,428882,0
18536,235274,0
19042,52254,0
19546,87028,0
20057,53125,0
20561,47029,0
21065,55738,0
21564,74027,0
22072,70571,0
22572,64447,0
23079,54466,0
23519,448830,0
24037,325218,0
24544,56609,0
25048,54867,0
25552,115706,0
26065,49641,0
26566,53996,0
27079,55738,0
27579,77511,0
28084,54136,0
28579,259372,0
29043,68000,0
29536,486888,11834
30053,64046,0
30561,61399,0
31066,51111,0
31562,127980,0
32074,81458,0
32568,233107,0
33088,52516,0
33590,375518,0
34099,62705,0
34552,124869,0
35063,70196,0
35565,100575,0
36069,71953,0
36563,229824,0
37122,838092,363038
,,
