Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
57,480012,0
503,857179,264051
1006,1830963,1237835
1505,2048355,1455227
2011,1821925,1228797
2508,2311066,1717938
3010,4718641,4125513
3510,3190529,2597401
4019,2681623,2088495
4522,261517,0
5037,191426,0
5541,249126,0
6038,406703,0
6548,203299,0
7049,293209,0
7556,199260,0
8000,937058,343930
8504,781540,188412
9011,469535,0
9523,161575,0
10013,1067716,474588
10522,316342,0
11034,235073,0
11519,617113,23985
12027,217066,0
12531,301949,0
13047,98513,0
13549,138368,0
14051,128325,0
14555,119398,0
15057,132788,0
15561,133904,0
16060,133904,0
16563,173340,0
17067,187701,0
17519,210600,0
18026,122746,0
18515,658285,65157
19032,174273,0
19539,146179,0
20041,135501,0
20543,174612,0
21046,136136,0
21554,186764,0
22058,193669,0
22566,155548,0
23068,194400,0
23572,194400,0
24072,183060,0
24533,124881,0
25034,157491,0
25537,179820,0
26039,215460,0
26545,178200,0
27049,205740,0
27552,186300,0
28058,186300,0
28559,293787,0
29068,186299,0
29572,189540,0
30070,541951,0
30575,166860,0
31083,227286,0
31570,1200912,607784
32038,160380,0
32541,239775,0
33044,262943,0
33549,248451,0
34053,183060,0
34554,323523,0
35060,181440,0
35568,183060,0
36071,199260,0
36557,1050819,457691
,,
,,
