Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
30,1575479,723409
498,883957,31887
1008,975710,123640
1507,2089674,1237604
1999,2918523,2066453
2511,1176784,324714
3019,1422520,570450
3510,2531576,1679506
4012,3847174,2995104
4520,5307383,4455313
5018,4914586,4062516
5519,3251242,2399172
6023,1716880,864810
6533,237066,0
7038,64458,0
7557,50547,0
8056,131353,0
8563,49398,0
9010,660890,0
9506,51383,0
10024,98195,0
10525,132840,0
11036,91501,0
11525,699005,0
12023,507824,0
12525,185993,0
13030,228194,0
13546,35741,0
14047,55847,0
14551,50131,0
15054,145248,0
15558,49723,0
16061,49641,0
16567,57480,0
17067,70458,0
17572,58351,0
18011,530430,0
18526,44416,0
19021,298771,0
19533,62488,0
20027,269222,0
20542,40061,0
21042,106920,0
21551,41803,0
22042,319168,0
22561,53125,0
23059,301135,0
23582,59957,0
24067,440882,0
24538,83144,0
25030,196992,0
25554,122473,0
26051,63576,0
26558,51383,0
27062,100431,0
27571,55738,0
28077,72565,0
28580,68802,0
29082,67931,0
29590,123012,0
30047,54867,0
30555,66951,0
31062,74191,0
31562,114905,0
32073,64447,0
32577,67480,0
33089,64720,0
33592,110550,0
34097,105255,0
34600,60963,0
35102,54867,0
35562,72885,0
36064,132840,0
36551,1419885,567815
,,
,,
