Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,1261303,386869
487,1441188,566754
994,1663461,789027
1491,2265749,1391315
2005,2781996,1907562
2514,3022352,2147918
2999,2907630,2033196
3513,2681615,1807181
4011,2746146,1871712
4518,2667274,1792840
5018,4042990,3168556
5520,3971289,3096855
6028,3285887,2411453
6538,3171166,2296732
7044,1610579,736145
7554,1224641,350207
8009,659677,0
8515,486604,0
9010,602287,0
9537,29611,0
10048,31597,0
10551,83608,0
11034,795880,0
11543,448830,0
12046,114701,0
12548,89766,0
13062,17418,0
13514,36177,0
14015,82080,0
14520,48238,0
15023,37117,0
15526,22643,0
16027,35175,0
16537,33740,0
17041,54335,0
17547,49109,0
18040,447950,0
18558,38188,0
19065,60030,0
19570,31352,0
20025,61572,0
20526,60692,0
21036,44955,0
21540,59159,0
22046,49980,0
22550,45626,0
23055,48439,0
23561,49579,0
24068,53263,0
24570,64720,0
25078,33965,0
25531,51656,0
26041,27869,0
26553,40932,0
27059,29611,0
27564,45556,0
28070,60963,0
28579,38320,0
29085,40061,0
29545,40932,0
30052,32693,0
30558,63604,0
31065,45086,0
31572,38320,0
32060,1125704,251270
32584,45626,0
33085,217686,0
33551,54535,0
34061,20901,0
34569,64385,0
35077,44755,0
35571,595117,0
36090,31352,0
36596,69610,0
37091,760029,0
,,
,,
