Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
78,343408,0
540,256089,0
1046,121500,0
1557,44015,0
2054,673988,47344
2554,874751,248107
3059,2315940,1689296
3561,2509532,1882888
4072,2251409,1624765
4520,2437831,1811187
5034,1483101,856457
5538,2680507,2053863
6036,2523873,1897229
6536,2753316,2126672
7031,3857401,3230757
7531,1769536,1142892
8045,3498897,2872253
8547,7729654,7103010
9054,7765504,7138860
9558,8874213,8247569
10078,1096766,470122
10560,1304957,678313
11063,903431,276787
11566,1398168,771524
12071,989472,362828
12570,1010983,384339
13077,1147215,520571
13530,358504,0
14042,17418,0
14547,26998,0
15039,158972,0
15538,408695,0
16056,27869,0
16548,516246,0
17068,27668,0
17577,126164,0
18066,209454,0
18588,34235,0
19094,29611,0
19592,35707,0
20055,48471,0
20554,57217,0
21060,48909,0
21566,50512,0
22072,27869,0
22577,99140,0
23082,45179,0
23586,63783,0
24105,838901,212257
24578,1434018,807374
25088,853241,226597
25591,910601,283957
26045,881921,255277
26550,910601,283957
27054,831730,205086
27554,874751,248107
28057,917772,291128
28559,860411,233767
29066,860411,233767
29566,896261,269617
30073,860411,233767
30577,889091,262447
31082,881921,255277
31584,860411,233767
32088,831730,205086
32590,889091,262447
33093,860411,233767
33601,846071,219427
34100,910601,283957
34553,881921,255277
35056,874751,248107
35555,853241,226597
36066,580777,0
36569,390901,0
37086,33364,0
37601,40932,0
38109,33938,0
38597,573607,0
39106,831730,205086
,,
,,
