Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
28,489886,84503
489,784023,378640
990,1286871,881488
1495,2049584,1644201
1995,3338859,2933476
2493,1938188,1532805
3000,2865867,2460484
3509,792702,387319
4011,3012686,2607303
4513,2527349,2121966
5021,1108387,703004
5515,2188799,1783416
6025,2755781,2350398
6544,1740128,1334745
7049,665287,259904
7546,90720,0
7996,523416,118033
8521,50158,0
9017,126342,0
9524,53125,0
10034,40531,0
10542,97336,0
11048,47814,0
11561,68470,0
12051,131870,0
12543,282227,0
13046,133793,0
13550,37208,0
14063,16570,0
14519,23514,0
15023,17418,0
15530,44416,0
16031,29964,0
16530,27869,0
17033,17418,0
17538,62430,0
18049,36578,0
18551,43545,0
19049,201741,0
19559,41803,0
20065,37449,0
20571,20030,0
21025,24385,0
21530,35707,0
22037,22643,0
22540,26998,0
23042,32223,0
23548,24385,0
24054,39191,0
24557,23514,0
25067,20030,0
25571,27107,0
26074,32223,0
26589,31152,0
27045,36177,0
27558,27869,0
28067,36578,0
28574,52554,0
29082,60512,0
29587,34636,0
30092,32223,0
30548,44886,0
31063,33965,0
31546,1143551,738168
32073,23514,0
32563,273998,0
33082,104251,0
33592,44755,0
34103,33094,0
34553,117455,0
35071,39191,0
35576,38320,0
36083,26127,0
36570,481938,76555
,,
,,
