Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
75,1098129,159191
487,673011,0
989,1183627,244689
1495,2463727,1524789
1995,3174361,2235423
2503,2680386,1741448
2998,2587762,1648824
3501,3595252,2656314
4002,2345988,1407050
4504,3909661,2970723
5010,7443790,6504852
5523,7113687,6174749
6026,8136264,7197326
6528,8736171,7797233
7043,7533837,6594899
7558,1080174,141236
8051,230047,0
8524,28740,0
9014,455222,0
9529,69727,0
10043,55772,0
10539,77760,0
11060,25256,0
11536,969566,30628
12039,115896,0
12541,59844,0
13058,13957,0
13558,25256,0
14067,41884,0
14565,20901,0
15015,90934,0
15524,26998,0
16026,23514,0
16516,374025,0
17033,30481,0
17542,33094,0
18044,60162,0
18550,24385,0
19063,19038,0
19563,40084,0
20069,31352,0
20572,36177,0
21077,22643,0
21527,55080,0
22037,19160,0
22547,27869,0
23046,25726,0
23548,27869,0
24060,36552,0
24563,30481,0
25068,33163,0
25579,26597,0
26086,27814,0
26547,40279,0
27054,30481,0
27565,34435,0
28073,31352,0
28583,30281,0
29091,35707,0
29547,32223,0
30055,41967,0
30569,24603,0
31072,41402,0
31579,49590,0
32084,49711,0
32596,31152,0
33057,33965,0
33565,34836,0
34079,33530,0
34578,53125,0
35087,60162,0
35594,36377,0
36107,29611,0
36602,472298,0
,,
,,
