Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
85,451487,0
494,690452,224614
994,1605864,1140026
1502,3566158,3100320
1999,3398015,2932177
2509,1491626,1025788
3005,3208441,2742603
3510,1974777,1508939
4012,2682429,2216591
4515,2434126,1968288
5023,1552680,1086842
5524,2216466,1750628
6022,2271984,1806146
6533,1469772,1003934
7036,424326,0
7538,458341,0
8037,1092733,626895
8545,373441,0
9050,373724,0
9554,376780,0
10002,1118195,652357
10508,414129,0
11011,459647,0
11514,426816,0
12017,453081,0
12524,282694,0
13015,466912,1074
13520,289180,0
14021,516977,51139
14529,336390,0
15041,345150,0
15533,300782,0
16037,307814,0
16539,231251,0
17040,331094,0
17545,265652,0
18052,262839,0
18554,288270,0
19056,388301,0
19566,282852,0
20064,298410,0
20515,390458,0
21019,335197,0
21520,404403,0
22023,353054,0
22526,390458,0
23029,331690,0
23532,345835,0
24030,643324,177486
24536,368146,0
25039,384880,0
25542,390458,0
26045,418348,0
26547,354201,0
27048,1150721,684883
27555,386316,0
28064,274010,0
28563,398825,0
29070,273297,0
29569,469497,3659
30023,382091,0
30525,476064,10226
31028,439948,0
31526,1394504,928666
32033,422002,0
32537,490950,25112
33042,404403,0
33543,629033,163195
34047,404365,0
34549,492480,26642
35052,396036,0
35555,431550,0
36058,390458,0
36563,256096,0
37064,401614,0
37567,457394,0
38065,994378,528540
,,
,,
