Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,1246871,548157
496,618961,0
994,1583087,884373
1495,2237309,1538595
2003,2573258,1874544
2501,1485970,787256
3003,3611562,2912848
3505,3739068,3040354
4006,3851801,3153087
4509,3374370,2675656
5016,2400606,1701892
5519,1155880,457166
6022,541205,0
6524,1320476,621762
7026,732632,33918
7531,102326,0
8035,90384,0
8539,147953,0
8991,91901,0
9501,109096,0
10002,79333,0
10508,314104,0
11007,871087,172373
11508,502094,0
12012,287838,0
12514,181831,0
13016,73248,0
13519,86399,0
14022,55484,0
14524,242097,0
15027,74124,0
15530,90862,0
16035,63633,0
16537,314774,0
17042,83733,0
17547,281718,0
18001,260266,0
18504,60115,0
19008,140119,0
19511,73225,0
20015,98493,0
20520,72331,0
21025,71449,0
21530,158374,0
22032,111077,0
22539,250416,0
23042,78439,0
23549,106469,0
24048,78496,0
24555,104412,0
25057,83710,0
25511,89818,0
26015,180907,0
26515,267283,0
27024,166118,0
27530,83710,0
28033,156319,0
28539,79367,0
29043,144874,0
29548,85464,0
30051,107122,0
30556,81957,0
31060,97397,0
31560,348242,0
32068,171686,0
32521,211666,0
33024,125294,0
33529,104571,0
34032,217476,0
34537,83722,0
35042,98527,0
35547,82828,0
36050,98195,0
36547,897408,198694
,,
,,
