Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
25,118106,0
480,672967,67667
978,1473518,868218
1481,3054438,2449138
1998,1437567,832267
2501,971012,365712
3016,1319851,714551
3517,197178,0
4031,53191,0
4533,48851,0
5043,29410,0
5500,92680,0
6018,64012,0
6511,68802,0
7019,50111,0
7530,32223,0
8032,57153,0
8523,466056,0
9049,179046,0
9556,28740,0
10001,151027,0
10522,54867,0
11030,36377,0
11540,39191,0
12038,118914,0
12557,46258,0
13037,537746,0
13540,123819,0
14043,68883,0
14497,84779,0
15011,10450,0
15515,15676,0
16015,37048,0
16517,28740,0
17021,18289,0
17522,24385,0
18030,20901,0
18532,36796,0
19025,158837,0
19545,26127,0
20047,31352,0
20554,37449,0
21061,23514,0
21567,35707,0
22023,38429,0
22529,25256,0
23034,35707,0
23539,27869,0
24027,638138,32838
24549,19160,0
25059,28138,0
25566,28740,0
26072,26127,0
26578,31842,0
27037,26998,0
27547,30481,0
28055,46697,0
28567,51018,0
29076,42327,0
29581,40932,0
30040,32223,0
30550,43144,0
31060,37449,0
31544,1269106,663806
32076,70550,0
32571,57480,0
33077,44554,0
33590,43545,0
34093,33094,0
34602,63313,0
35058,28740,0
35563,67668,0
36069,28740,0
36560,481637,0
,,
,,
