Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,1369769,718139
493,971912,320282
993,1596320,944690
1501,1889499,1237869
1993,3234278,2582648
2494,2439366,1787736
2998,1702830,1051200
3505,1241565,589935
4014,1544660,893030
4539,125203,0
5023,813099,161469
5553,35106,0
6063,48238,0
6570,41826,0
7024,56718,0
7549,45932,0
8040,53263,0
8549,38320,0
9054,107606,0
9556,412987,0
10075,34836,0
10531,63583,0
11037,74304,0
11543,126296,0
12023,1101069,449439
12527,297188,0
13030,61026,0
13533,75078,0
14046,36578,0
14550,18289,0
15052,17418,0
15555,32223,0
16058,23514,0
16560,26998,0
17066,26998,0
17576,27880,0
18087,26127,0
18535,30481,0
19037,19160,0
19544,23514,0
20049,30481,0
20556,27381,0
21061,26127,0
21564,31352,0
22069,22643,0
22575,39191,0
23081,31352,0
23584,28740,0
24042,41803,0
24548,35707,0
25051,23514,0
25556,33965,0
26067,32223,0
26580,41700,0
27082,39661,0
27597,40061,0
28103,31152,0
28559,30481,0
29067,29611,0
29580,39191,0
30082,37449,0
30589,43614,0
31097,44485,0
31604,28740,0
32066,50077,0
32574,43345,0
33083,48828,0
33574,174009,0
34075,731349,79719
34601,42674,0
35108,42743,0
35620,39861,0
36072,51922,0
36568,207090,0
,,
,,
,,
