Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
37,459179,0
497,850143,285890
1001,1609865,1045612
1496,2185736,1621483
2005,1577060,1012807
2531,339074,0
3040,246498,0
3545,698330,134077
4055,1126846,562593
4554,1134262,570009
5057,1111339,547086
5511,1159315,595062
6003,1384981,820728
6526,147888,0
7041,49923,0
7545,27869,0
8057,31980,0
8563,66396,0
9022,51922,0
9527,48427,0
10033,34836,0
10542,24385,0
11052,37449,0
11561,41072,0
12044,810220,245967
12546,138786,0
13051,107569,0
13554,78311,0
14067,17418,0
14569,20901,0
15073,26127,0
15526,26127,0
16035,30481,0
16532,33094,0
17034,22643,0
17541,33094,0
18049,29611,0
18552,28751,0
19058,32223,0
19571,32713,0
20076,34836,0
20581,46227,0
21083,25256,0
21541,38320,0
22044,42674,0
22555,50651,0
23059,23514,0
23568,41202,0
24073,76139,0
24575,38790,0
25079,21772,0
25587,22643,0
26089,105463,0
26597,34945,0
27054,42783,0
27563,40932,0
28069,41803,0
28575,32223,0
29081,38320,0
29589,37612,0
30100,37449,0
30558,27625,0
31069,33094,0
31577,79824,0
32080,70080,0
32588,75259,0
33092,29611,0
33601,49241,0
34113,34636,0
34567,33094,0
35076,47029,0
35582,32223,0
36091,38320,0
36573,470101,0
,,
,,
,,
