Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,1253023,790582
502,1357693,895252
996,976327,513886
1498,2682061,2219620
1999,2697714,2235273
2509,2152761,1690320
3004,1015126,552685
3508,1028015,565574
4017,1042634,580193
4538,1135039,672598
5026,1813529,1351088
5551,121223,0
6059,33965,0
6516,53938,0
7022,46158,0
7531,33965,0
8045,32686,0
8549,52254,0
9050,62855,0
9560,84547,0
10069,37395,0
10521,44416,0
11034,73703,0
11547,87139,0
12019,729451,267010
12520,111791,0
13024,55129,0
13546,49545,0
14047,20030,0
14549,20030,0
15049,27869,0
15557,34836,0
16060,17418,0
16560,15676,0
17063,46158,0
17572,27869,0
18077,43981,0
18533,40084,0
19038,40932,0
19542,31352,0
20046,45287,0
20553,39260,0
21057,29210,0
21546,609457,147016
22069,25256,0
22575,40061,0
23079,33861,0
23582,31352,0
24029,143921,0
24543,37639,0
25040,112072,0
25556,43545,0
26067,39191,0
26580,36578,0
27083,52123,0
27548,36578,0
28053,43144,0
28568,28740,0
29066,43545,0
29576,25883,0
30085,52392,0
30589,36578,0
31099,33094,0
31543,373116,0
32045,967321,504880
32569,832593,370152
33076,1163824,701383
33583,1095175,632734
34080,1092178,629737
34584,1090437,627996
35084,1093049,630608
35594,908197,445756
36114,1102629,640188
36592,1562732,1100291
37039,1098275,635834
,,
,,
