Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
38,1586310,0
508,1136595,0
1001,2066108,215646
1508,3885288,2034826
2010,5146668,3296206
2501,4403744,2553282
3002,2552205,701743
3506,1654784,0
4010,2375510,525048
4512,2237015,386553
5019,2340834,490372
5517,3270094,1419632
6025,3508673,1658211
6528,1936328,85866
7032,1358183,0
7543,391812,0
8058,556256,0
8511,91746,0
9008,309964,0
9505,1073164,0
10009,484661,0
10521,223448,0
11031,185056,0
11520,1087471,0
12018,1244650,0
12524,406394,0
13033,356967,0
13538,215869,0
14049,137614,0
14554,119398,0
15062,98413,0
15545,989472,0
16066,100466,0
16508,156749,0
17012,146983,0
17518,126563,0
18022,116453,0
18525,108239,0
19027,173011,0
19537,88120,0
20042,109355,0
20548,93569,0
21051,99421,0
21550,648856,0
22058,89703,0
22561,111587,0
23066,132035,0
23522,118254,0
24021,178200,0
24528,106007,0
25033,109355,0
25528,387417,0
26041,163175,0
26546,429408,0
27055,89703,0
27554,174959,0
28062,114199,0
28569,115832,0
29067,194399,0
29576,94929,0
30033,113819,0
30541,142353,0
31044,116050,0
31536,1702034,0
32048,181722,0
32542,650337,0
33056,122536,0
33562,164226,0
34071,86220,0
34568,191448,0
35060,1016332,0
35567,731995,0
36090,186048,0
,,
,,
,,
