Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
45,1780344,1361763
527,1168725,750144
1031,1118534,699953
1533,1907245,1488664
2045,2552553,2133972
2551,2617084,2198503
3041,2710295,2291714
3548,2767656,2349075
4048,2717465,2298884
4563,2767656,2349075
5054,2902411,2483830
5557,2206912,1788331
6067,1877088,1458507
6511,1706482,1287901
7016,1534400,1115819
7516,1835544,1416963
8025,2014796,1596215
8520,2050646,1632065
9020,1871394,1452813
9534,2320421,1901840
10033,2284570,1865989
10540,2356271,1937690
11040,2459342,2040761
11544,2617084,2198503
12042,2609914,2191333
12551,2344620,1926039
13049,1857054,1438473
13586,2480852,2062271
14059,521541,102960
14566,333194,0
15069,247860,0
15571,310832,0
16074,259200,0
16571,454605,36024
17030,241380,0
17527,984364,565783
18035,270540,0
18536,317253,0
19035,433628,15047
19547,1283446,864865
20044,265652,0
20546,359073,0
21049,389385,0
21555,248039,0
22060,296364,0
22562,275400,0
23067,282805,0
23560,1649121,1230540
24064,997217,578636
24571,591164,172583
25070,758025,339444
25575,554860,136279
26034,270540,0
26541,287046,0
27041,268920,0
27542,962502,543921
28045,488157,69576
28543,1283446,864865
29054,289828,0
29551,1197405,778824
30063,236520,0
30564,301964,0
31068,273281,0
31573,302209,0
32069,1462699,1044118
32574,548294,129713
33073,772986,354405
33574,1828373,1409792
34087,313431,0
34591,286740,0
35043,319165,0
35547,370998,0
36048,313431,0
36551,346604,0
37048,1376658,958077
,,
,,
