Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
58,2515883,2052752
536,2433458,1970327
990,2387500,1924369
1502,4338886,3875755
1998,6496974,6033843
2498,6260815,5797684
2999,3767137,3304006
3503,2256062,1792931
4006,980640,517509
4509,2255700,1792569
5013,2453346,1990215
5516,1426440,963309
6018,3200865,2737734
6527,1928541,1465410
7029,1322019,858888
7550,115731,0
8055,113819,0
8495,1615447,1152316
8998,992621,529490
9516,151337,0
10020,165639,0
10525,197906,0
11032,222197,0
11511,646700,183569
12018,563392,100261
12522,320300,0
13037,94847,0
13537,113173,0
14037,157140,0
14547,86220,0
15046,95965,0
15549,146239,0
16050,346295,0
16557,131883,0
17059,144859,0
17515,89133,0
18021,114934,0
18527,91445,0
19027,109718,0
19532,108756,0
20034,104892,0
20540,104892,0
21045,112703,0
21540,856747,393616
22055,114960,0
22559,345292,0
23065,82437,0
23567,121630,0
24073,109708,0
24522,165240,0
25029,98196,0
25536,108484,0
26041,124586,0
26540,110471,0
27043,127209,0
27548,118282,0
28052,102795,0
28555,111859,0
29064,130557,0
29566,117166,0
30073,94385,0
30578,110443,0
31079,101516,0
31570,1924464,1461333
32088,202224,0
32536,153707,0
33040,135893,0
33541,194400,0
34054,93187,0
34552,173443,0
35061,99283,0
35566,91391,0
36061,252986,0
36562,554058,90927
,,
,,
