Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
10,1183705,651268
499,723571,191134
993,1486705,954268
1503,1895494,1363057
2003,2796402,2263965
2504,3860399,3327962
3007,2395257,1862820
3526,1999697,1467260
4018,1200900,668463
4519,1249656,717219
5025,837673,305236
5526,1333296,800859
6029,2144132,1611695
6531,1828129,1295692
7034,2251856,1719419
7534,2584324,2051887
8038,3171423,2638986
8491,3622465,3090028
9000,3524168,2991731
9498,2206667,1674230
10002,1832351,1299914
10510,435907,0
11014,1280989,748552
11513,1607703,1075266
12014,2297226,1764789
12516,1883682,1351245
13008,2175399,1642962
13510,2156563,1624126
14012,2473740,1941303
14515,1409239,876802
15017,1397385,864948
15519,1382954,850517
16023,1409046,876609
16530,1214256,681819
17038,973871,441434
17544,362234,0
18046,390560,0
18549,775285,242848
19046,1240426,707989
19550,403890,0
20054,382390,0
20508,296231,0
21013,251100,0
21515,262440,0
22017,319165,0
22521,277020,0
23015,753345,220908
23529,254473,0
24028,370732,0
24532,370732,0
25038,277020,0
25542,244753,0
26044,251100,0
26547,268920,0
27041,1817091,1284654
27549,490562,0
28051,593982,61545
28551,698181,165744
29054,864505,332068
29562,465443,0
30017,379450,0
30523,303875,0
31024,359073,0
31529,302097,0
32025,857765,325328
32534,350620,0
33027,1569779,1037342
33536,673922,141485
34046,435073,0
34550,296231,0
35056,275400,0
35562,190814,0
36063,263834,0
36565,572710,40273
,,
,,
,,
