Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,1049276,486315
502,978482,415521
996,1721805,1158844
1499,3050380,2487419
2002,2464052,1901091
2508,1017739,454778
3027,549619,0
3544,52760,0
4048,80061,0
4535,1038194,475233
5045,754567,191606
5557,411015,0
6070,36578,0
6573,62774,0
7025,123286,0
7537,87097,0
8027,392444,0
8545,27668,0
9041,213408,0
9559,33965,0
10067,178913,0
10580,38824,0
11033,104983,0
11542,59222,0
12019,1146894,583933
12526,287922,0
13033,142481,0
13535,123194,0
14050,22643,0
14550,32223,0
15054,29611,0
15555,48238,0
16060,46131,0
16562,33094,0
17073,35544,0
17574,33965,0
18080,53194,0
18587,33765,0
19042,53561,0
19546,51922,0
20054,32851,0
20561,47900,0
21064,63227,0
21567,30481,0
22074,54535,0
22579,39191,0
23085,36177,0
23589,33094,0
24093,47573,0
24594,50512,0
25052,44416,0
25557,47900,0
26073,54134,0
26575,37449,0
27088,49711,0
27594,65055,0
28104,50524,0
28559,29611,0
29072,47029,0
29579,33094,0
30084,43545,0
30591,49310,0
31098,53616,0
31586,1258273,695312
32113,50381,0
32567,47029,0
33070,47900,0
33582,46158,0
34089,39661,0
34598,32223,0
35104,31352,0
35610,40061,0
36126,34836,0
36608,507514,0
,,
,,
,,
