Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
28,1267240,715671
497,762083,210514
997,1498602,947033
1496,1482448,930879
1997,3428063,2876494
2509,1807783,1256214
3027,511836,0
3521,1467017,915448
4024,1626069,1074500
4524,1110109,558540
5041,242892,0
5550,208506,0
6055,175938,0
6557,208980,0
7020,161960,0
7526,147295,0
8030,134883,0
8530,153990,0
9019,1028673,477104
9541,135658,0
10024,1362004,810435
10527,1275492,723923
11036,1143551,591982
11548,353055,0
12058,231793,0
12546,1161555,609986
13045,551100,0
13550,382183,0
14054,519078,0
14521,148091,0
15022,237774,0
15531,124540,0
16028,217598,0
16536,118118,0
17040,173107,0
17544,120362,0
18045,212219,0
18549,121630,0
19055,143958,0
19557,100154,0
20057,143267,0
20566,121927,0
21067,121003,0
21575,130419,0
22075,186732,0
22575,151758,0
23082,123861,0
23531,148779,0
24037,145063,0
24544,127127,0
25047,137278,0
25553,142085,0
26039,673246,121677
26554,178200,0
27061,294931,0
27571,135020,0
28077,124473,0
28578,158454,0
29080,113218,0
29589,144573,0
30085,220320,0
30546,135020,0
31046,176138,0
31548,188727,0
32051,215669,0
32559,193669,0
33064,210600,0
33566,157338,0
34068,128325,0
34574,143947,0
35074,215459,0
35586,191757,0
36090,172204,0
36576,1119776,568207
,,
,,
