Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
13,966344,480505
495,1480104,994265
995,2049793,1563954
1498,2688731,2202892
2003,3802391,3316552
2499,3152176,2666337
3000,2623025,2137186
3510,2583498,2097659
4006,2238103,1752264
4515,147227,0
5022,1661767,1175928
5520,1308964,823125
6052,143060,0
6544,242375,0
7050,185353,0
7543,356742,0
7996,1007162,521323
8520,144367,0
9020,230040,0
9512,838908,353069
10034,154627,0
10524,319435,0
11040,169242,0
11521,1244818,758979
12020,791011,305172
12535,1426345,940506
13037,1842677,1356838
13551,1273553,787714
14053,1253775,767936
14550,1208121,722282
15055,1141409,655570
15555,1069424,583585
16061,1174044,688205
16502,2042577,1556738
17019,1193155,707316
17520,1250756,764917
18009,1923379,1437540
18528,176975,0
19035,189693,0
19542,145035,0
20046,142831,0
20550,120567,0
21049,176965,0
21555,140109,0
22048,341303,0
22559,166854,0
23068,185751,0
23572,128814,0
24011,456364,0
24532,170916,0
25035,134797,0
25537,174396,0
26046,148165,0
26544,157338,0
27057,133631,0
27553,174637,0
28060,145770,0
28562,151758,0
29070,176105,0
29578,185062,0
30080,165009,0
30533,201733,0
31038,202454,0
31538,164033,0
32034,258113,0
32549,194666,0
33053,120185,0
33552,238140,0
34057,183405,0
34567,141525,0
35073,153990,0
35572,181683,0
36079,188089,0
36576,498599,12760
,,
,,
,,
