Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,1430107,441104
482,1920943,931940
985,2315211,1326208
1494,4599209,3610206
2006,4956327,3967324
2501,2405539,1416536
2999,591869,0
3508,1181562,192559
4010,1815757,826754
4525,774441,0
5026,868012,0
5528,503133,0
6035,2160689,1171686
6538,1474492,485489
7045,1587049,598046
7536,2608368,1619365
8049,1875994,886991
8546,2069274,1080271
8996,1264520,275517
9512,129514,0
10014,581126,0
10517,252788,0
11025,291600,0
11513,1183907,194904
12016,423351,0
12520,221454,0
13037,41422,0
13540,60963,0
14044,75769,0
14549,73646,0
15050,73156,0
15550,77239,0
16055,58351,0
16556,79264,0
17052,359073,0
17557,368400,0
18057,566882,0
18565,4023564,3034561
19017,1027581,38578
19517,1138923,149920
20017,1007840,18837
20521,2450500,1461497
21027,1454730,465727
21533,1614572,625569
22037,1681581,692578
22535,1079686,90683
23044,769241,0
23551,650216,0
24053,650216,0
24556,60092,0
25064,66189,0
25565,148411,0
26069,347107,0
26577,148411,0
27076,184119,0
27534,698680,0
28036,63576,0
28547,75638,0
29048,62705,0
29556,60092,0
30057,59222,0
30562,78382,0
31050,458804,0
31562,1412508,423505
32067,261619,0
32567,1001453,12450
33078,1575238,586235
33592,891345,0
34095,1035437,46434
34527,1993037,1004034
35031,1678564,689561
35545,1533965,544962
36048,1021047,32044
36547,535486,0
37051,1616916,627913
,,
,,
