Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
14,980382,396584
499,775837,192039
998,1438483,854685
1504,2083385,1499587
1997,4277206,3693408
2497,4279176,3695378
2999,4126754,3542956
3500,3008515,2424717
4008,3013765,2429967
4519,1387331,803533
5033,1289952,706154
5532,2556753,1972955
6025,3597535,3013737
6531,5936298,5352500
7042,6150873,5567075
7536,1705279,1121481
8039,1292213,708415
8545,4361529,3777731
9045,6492784,5908986
9515,817788,233990
10008,287266,0
10514,1386330,802532
11018,1243786,659988
11520,785116,201318
12028,598982,15184
12523,784951,201153
13018,1432611,848813
13521,969742,385944
14026,974505,390707
14527,1010983,427185
15027,1000688,416890
15552,145522,0
16048,91722,0
16556,121471,0
17059,71083,0
17546,792934,209136
18054,1389088,805290
18552,2703499,2119701
19055,4498007,3914209
19557,7472158,6888360
20013,5522015,4938217
20509,4197196,3613398
21010,4953092,4369294
21516,6960841,6377043
22021,3763779,3179981
22521,6587711,6003913
23033,4199655,3615857
23527,6878319,6294521
24044,6547416,5963618
24557,966846,383048
25061,67060,0
25561,61834,0
26060,200521,0
26561,436810,0
27065,258007,0
27566,795720,211922
28071,737396,153598
28531,386020,0
29039,354667,0
29536,118260,0
30048,54867,0
30551,68802,0
31053,98955,0
31552,354077,0
32050,718129,134331
32556,962948,379150
33058,2470845,1887047
33558,4531877,3948079
34069,5963943,5380145
34568,5664908,5081110
35078,4970376,4386578
35575,4076520,3492722
36032,5925474,5341676
36530,7332594,6748796
37031,3756813,3173015
,,
,,
,,
