Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
55,521405,29939
505,850737,359271
1005,1366376,874910
1511,3059519,2568053
2014,4627431,4135965
2517,2405480,1914014
3031,1554648,1063182
3534,219021,0
4025,1308805,817339
4537,1185146,693680
5038,892674,401208
5541,586162,94696
6039,2595478,2104012
6555,673015,181549
7057,1475129,983663
7511,2241646,1750180
8009,2640100,2148634
8528,1485386,993920
9028,719359,227893
9536,120514,0
10033,390458,0
10541,186826,0
11030,1395753,904287
11531,812803,321337
12039,770351,278885
12540,226714,0
13058,45287,0
13557,58351,0
14062,47029,0
14564,54867,0
15066,50512,0
15567,51383,0
16071,74285,0
16519,229616,0
17020,832830,341364
17523,512179,20713
18026,594259,102793
18536,1352928,861462
19038,1086253,594787
19540,2400846,1909380
20040,1949960,1458494
20545,2505601,2014135
21049,1446658,955192
21551,991467,500001
22057,462972,0
22557,2194206,1702740
23055,2033141,1541675
23572,721579,230113
24070,173601,0
24580,55439,0
25039,65318,0
25542,95800,0
26039,373724,0
26544,233280,0
27048,319165,0
27554,148040,0
28063,80123,0
28571,50512,0
29071,67060,0
29575,89054,0
30080,78872,0
30583,71483,0
31096,95069,0
31584,1706325,1214859
32033,1023878,532412
32534,2063933,1572467
33037,490944,0
33550,986714,495248
34050,656863,165397
34555,917609,426143
35051,2993848,2502382
35566,1560283,1068817
36072,1415038,923572
36564,1013243,521777
,,
,,
