Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
49,432572,40854
516,298659,0
1013,138860,0
1509,1116466,724748
2009,1267619,875901
2502,3027020,2635302
3004,4059546,3667828
3506,3869599,3477881
4009,3560132,3168414
4524,1718002,1326284
5036,812733,421015
5530,1045608,653890
6034,3636680,3244962
6535,3107396,2715678
7037,4369364,3977646
7547,5611214,5219496
7997,2971934,2580216
8498,4721310,4329592
9006,4916682,4524964
9511,7321302,6929584
10028,5920325,5528607
10530,875426,483708
11031,689960,298242
11525,874751,483033
12020,1640636,1248918
12524,892229,500511
13031,734856,343138
13541,362088,0
14047,351568,0
14547,36578,0
15054,46158,0
15553,39191,0
16057,49641,0
16547,359064,0
17015,62433,0
17516,339116,0
18014,403833,12115
18518,531878,140160
19017,3256845,2865127
19520,4256477,3864759
20028,5207167,4815449
20524,3977925,3586207
21037,5318526,4926808
21530,3209959,2818241
22046,5988730,5597012
22535,1311411,919693
23040,474244,82526
23541,5475109,5083391
24042,7560013,7168295
24559,5847099,5455381
25063,856751,465033
25566,49641,0
26010,638138,246420
26514,934155,542437
27015,1553550,1161832
27526,1424504,1032786
28028,1893272,1501554
28532,1914781,1523063
29039,1578211,1186493
29545,1417722,1026004
30045,1226930,835212
30559,1119177,727459
31053,1106113,714395
31557,1120048,728330
32059,1224516,832798
32568,1832010,1440292
33048,2988123,2596405
33556,3446880,3055162
34063,5389045,4997327
34570,4658647,4266929
35032,2657863,2266145
35536,4810605,4418887
36032,5135882,4744164
36531,6787279,6395561
37031,6265772,5874054
37534,4996856,4605138
38038,6645028,6253310
,,
,,
