Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
8,706982,300101
484,1347303,940422
981,1938808,1531927
1488,3153732,2746851
2007,2222992,1816111
2509,611820,204939
3023,54065,0
3535,32023,0
4021,557808,150927
4540,1153170,746289
5058,125216,0
5563,66361,0
6017,52277,0
6531,68470,0
7054,32589,0
7543,42743,0
8058,42674,0
8561,23514,0
9023,46628,0
9524,26127,0
10035,30481,0
10546,39191,0
11051,54535,0
11560,58019,0
12046,398711,0
12549,184657,0
13001,129822,0
13508,113766,0
14024,21772,0
14523,21572,0
15030,26998,0
15538,34636,0
16032,23514,0
16534,31352,0
17041,31352,0
17544,51052,0
18048,33965,0
18553,74767,0
19063,37048,0
19566,24385,0
20069,38320,0
20575,33965,0
21034,26127,0
21535,38119,0
22039,32223,0
22545,22643,0
23050,33094,0
23555,23514,0
24062,38320,0
24566,38320,0
25071,29611,0
25580,36306,0
26086,72292,0
26545,69679,0
27049,46296,0
27559,30481,0
28063,24385,0
28573,45826,0
29082,33094,0
29592,33965,0
30050,60099,0
30560,33965,0
31065,81000,0
31556,1530736,1123855
32083,39013,0
32586,67060,0
33102,40932,0
33604,62087,0
34062,33938,0
34565,42511,0
35076,41803,0
35577,40732,0
36087,31352,0
36571,591454,184573
37093,745384,338503
,,
,,
