Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
17,1123812,495493
497,732881,104562
998,1531287,902968
1504,1115097,486778
2001,3733334,3105015
2508,2720838,2092519
3006,2893114,2264795
3512,2062413,1434094
4024,1383480,755161
4521,1439812,811493
5047,76520,0
5558,90414,0
6062,32223,0
6520,52254,0
7025,49641,0
7533,40932,0
8041,48771,0
8548,37919,0
9054,312481,0
9563,53418,0
10067,73168,0
10525,49711,0
11007,556087,0
11508,216871,0
12011,71844,0
12527,10450,0
13029,33094,0
13535,20901,0
14038,44525,0
14544,32023,0
15042,22643,0
15545,27869,0
16054,50512,0
16541,758955,130636
17036,1156627,528308
17544,1180852,552533
18044,1280888,652569
18553,1093920,465601
19055,1118778,490459
19557,1090437,462118
20012,944376,316057
20517,1116879,488560
21022,1083469,455150
21528,1136169,507850
22034,1089566,461247
22537,1093207,464888
23041,1259335,631016
23568,144404,0
24073,157813,0
24580,38320,0
25038,28740,0
25554,50512,0
26062,45287,0
26570,42944,0
27077,46158,0
27588,36578,0
28094,61502,0
28601,30951,0
29061,37449,0
29551,738519,110200
30084,25537,0
30584,27869,0
31094,37939,0
31603,48169,0
32062,35707,0
32565,57480,0
33081,34836,0
33582,43545,0
34092,36377,0
34601,30481,0
35111,33965,0
35609,40932,0
36090,27706,0
36565,279272,0
,,
,,
,,
