Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
49,449938,0
505,460693,0
1009,947612,403453
1501,1911156,1366997
2004,3395285,2851126
2507,1960046,1415887
3011,1288954,744795
3521,1134017,589858
4050,182823,0
4546,116581,0
5063,47900,0
5515,167358,0
6027,33721,0
6530,52254,0
7034,82180,0
7551,36377,0
8034,433712,0
8571,20275,0
9030,37832,0
9530,43144,0
10036,31152,0
10547,24385,0
11046,157593,0
11539,717009,172850
12039,268448,0
12541,156715,0
13042,60116,0
13562,19630,0
14061,20901,0
14562,21772,0
15064,37041,0
15565,20030,0
16070,13934,0
16573,31352,0
17026,53996,0
17530,37449,0
18036,38320,0
18542,21772,0
19046,38320,0
19548,111780,0
20058,36589,0
20564,25256,0
21070,31152,0
21575,29611,0
22081,20030,0
22543,50512,0
23043,29338,0
23551,45287,0
24051,35707,0
24562,39191,0
25063,26127,0
25566,37048,0
26083,34636,0
26590,32223,0
27099,39898,0
27606,46240,0
28061,45287,0
28563,36578,0
29074,32023,0
29582,39661,0
30092,27869,0
30598,40200,0
31109,67067,0
31547,975132,430973
32074,32894,0
32559,621291,77132
33091,27668,0
33590,105062,0
34113,95966,0
34576,47599,0
35081,29611,0
35590,37803,0
36086,73764,0
36580,537600,0
,,
,,
,,
