Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
22,1461202,989926
493,1086191,614915
995,1859056,1387780
1498,2308716,1837440
1994,3707372,3236096
2496,2841979,2370703
2998,2848355,2377079
3504,2022064,1550788
4018,1629820,1158544
4522,40171,0
5024,865357,394081
5563,76916,0
6058,37449,0
6513,71398,0
7024,55876,0
7529,67198,0
8040,35506,0
8549,29210,0
9040,541106,69830
9542,61403,0
10069,55606,0
10528,41884,0
11035,44253,0
11515,841294,370018
12015,574428,103152
12521,97409,0
13024,108233,0
13537,25256,0
14037,30128,0
14541,21772,0
15036,76288,0
15546,28740,0
16051,22643,0
16552,22643,0
17057,33965,0
17565,31352,0
18068,38320,0
18525,35707,0
19036,43219,0
19535,33094,0
20038,43545,0
20545,35707,0
21051,24385,0
21557,32223,0
22061,50512,0
22565,27869,0
23071,27869,0
23578,26127,0
24032,47075,0
24539,31352,0
25050,57621,0
25551,37449,0
26057,31152,0
26569,31352,0
27087,32894,0
27593,32693,0
28044,41803,0
28534,487566,16290
29062,28751,0
29571,36578,0
30073,47298,0
30585,27869,0
31097,72285,0
31597,60832,0
32103,26998,0
32561,36578,0
33069,35707,0
33579,38589,0
34090,26998,0
34603,42239,0
35105,45287,0
35613,35571,0
36111,46158,0
36563,194848,0
,,
,,
,,
