Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
59,873307,220312
497,1167109,514114
998,1541603,888608
1509,2357249,1704254
1997,3073813,2420818
2499,3710562,3057567
3006,3251850,2598855
3513,1446214,793219
4013,1137193,484198
4512,1250360,597365
5017,2434339,1781344
5522,1926468,1273473
6034,1367234,714239
6533,2131200,1478205
7031,477539,0
7533,1199185,546190
8046,165950,0
8554,117368,0
9041,622441,0
9546,1139574,486579
10055,1258495,605500
10499,1308512,655517
11009,1402945,749950
11506,2710241,2057246
12007,2503340,1850345
12500,1459603,806608
13005,3411131,2758136
13504,4358634,3705639
14006,3134134,2481139
14508,1363634,710639
15010,1127487,474492
15513,1112367,459372
16018,1102944,449949
16519,1125745,472750
17021,632263,0
17531,193586,0
18034,419372,0
18556,20901,0
19061,40932,0
19566,28740,0
20021,33965,0
20513,645715,0
21028,21784,0
21535,35707,0
22038,20030,0
22543,29622,0
23049,49641,0
23554,34836,0
24061,47900,0
24573,54099,0
25077,32223,0
25581,47981,0
26036,29230,0
26546,29611,0
27054,40932,0
27561,31152,0
28069,57480,0
28575,40932,0
29083,60632,0
29591,32023,0
30043,50512,0
30552,40061,0
31058,34836,0
31566,46225,0
32075,45287,0
32581,30481,0
33089,71953,0
33595,58758,0
34049,127980,0
34562,45287,0
35073,34836,0
35579,56277,0
36086,47098,0
36571,534093,0
,,
,,
,,
