Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,346171,0
498,713536,271950
996,1633545,1191959
1495,2151648,1710062
1999,3503891,3062305
2504,3502880,3061294
3014,2614266,2172680
3510,2495130,2053544
4015,2875265,2433679
4527,2009310,1567724
5030,1162696,721110
5536,1173882,732296
6035,1235829,794243
6543,1268423,826837
7046,1152271,710685
7551,1172521,730935
8040,1956794,1515208
8505,223942,0
9009,237993,0
9502,653750,212164
10014,222343,0
10515,280191,0
11023,158760,0
11531,513570,71984
12013,1056310,614724
12519,363930,0
13028,337956,0
13535,395065,0
14031,56242,0
14545,23526,0
15048,26998,0
15552,25256,0
16054,19160,0
16559,27869,0
17014,34836,0
17517,34836,0
18022,31352,0
18514,448830,7244
19026,209540,0
19541,39260,0
20049,27869,0
20553,43815,0
21062,45757,0
21564,49641,0
22070,35707,0
22579,36279,0
23028,33965,0
23539,32223,0
24042,90720,0
24553,32023,0
25049,282559,0
25563,35707,0
26072,33094,0
26581,36578,0
27083,39191,0
27536,51330,0
28049,67468,0
28558,36578,0
29077,83282,0
29576,50651,0
30083,90920,0
30589,51252,0
31049,30481,0
31563,101896,0
32066,30481,0
32570,124816,0
33078,33094,0
33585,43545,0
34096,55807,0
34602,50458,0
35103,61703,0
35558,75306,0
36065,60099,0
36566,508507,66921
,,
,,
