Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
30,378924,0
496,1106985,688133
1004,970610,551758
1502,2023754,1604902
1997,3429253,3010401
2498,2595165,2176313
3000,3853964,3435112
3512,3218349,2799497
4014,2104288,1685436
4519,543325,124473
5030,752169,333317
5520,2360582,1941730
6029,1549292,1130440
6526,2440877,2022025
7041,1451669,1032817
7536,764533,345681
8035,1268792,849940
8551,116635,0
9042,622928,204076
9547,690984,272132
10001,891739,472887
10515,150648,0
11020,95624,0
11504,1571185,1152333
12011,1082717,663865
12515,893379,474527
13015,1356011,937159
13521,1629345,1210493
14024,1658987,1240135
14535,1177041,758189
15039,1123672,704820
15543,1063440,644588
16043,194516,0
16547,990178,571326
17056,1126351,707499
17562,1094791,675939
18057,1433671,1014819
18519,1109911,691059
19021,1336596,917744
19520,1213897,795045
20040,27869,0
20543,27869,0
21046,23514,0
21552,50651,0
22060,23514,0
22563,43683,0
23070,36916,0
23575,32223,0
24033,82069,0
24539,49641,0
25045,41803,0
25549,32223,0
26055,48840,0
26565,46227,0
27075,34836,0
27581,30481,0
28085,47499,0
28590,42474,0
29055,44362,0
29558,31352,0
30064,33584,0
30572,57549,0
31080,44886,0
31589,54535,0
32101,73564,0
32555,29611,0
33059,56208,0
33566,37449,0
34075,33965,0
34583,39661,0
35091,40932,0
35595,39191,0
36102,48370,0
36601,594512,175660
,,
,,
