Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
44,444490,0
503,713189,237808
1006,1027445,552064
1503,2474950,1999569
2015,2875861,2400480
2511,3078726,2603345
3020,2926310,2450929
3524,2475233,1999852
4025,1949624,1474243
4526,1290797,815416
5047,148408,0
5549,170568,0
6043,867424,392043
6507,203033,0
7015,140759,0
7505,1116972,641591
8007,1948628,1473247
8510,1725348,1249967
9011,2081090,1605709
9514,1748156,1272775
10016,1319815,844434
10520,1393307,917926
11021,1296845,821464
11524,1408689,933308
12025,438338,0
12533,266375,0
13032,603570,128189
13543,183726,0
14056,90689,0
14557,33965,0
15061,32693,0
15564,37518,0
16015,30481,0
16523,48580,0
17026,36578,0
17535,27869,0
18032,64800,0
18544,37449,0
19045,162611,0
19551,67914,0
20058,35707,0
20567,29611,0
21075,38429,0
21527,41803,0
22034,29611,0
22541,30481,0
23050,44485,0
23552,28740,0
24057,32223,0
24571,44084,0
25067,28740,0
25573,28740,0
26081,52778,0
26588,51819,0
27042,42375,0
27550,35707,0
28055,36578,0
28560,35707,0
29066,58959,0
29573,47167,0
30079,51522,0
30582,104112,0
31091,132592,0
31529,1054003,578622
32057,62173,0
32547,294071,0
33072,44686,0
33581,37718,0
34085,51052,0
34596,29410,0
35107,32729,0
35558,60632,0
36067,33965,0
36567,318489,0
,,
,,
