Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
11,1019015,497215
492,1012496,490696
994,1379213,857413
1497,2138984,1617184
1994,3959666,3437866
2505,3198809,2677009
3003,3333383,2811583
3506,2326595,1804795
4010,2301063,1779263
4517,524039,2239
5014,1483741,961941
5517,2711242,2189442
6019,2593670,2071870
6524,2099608,1577808
7039,278960,0
7532,735233,213433
8037,877324,355524
8553,119398,0
8999,480325,0
9504,603417,81617
10006,1091529,569729
10509,375877,0
11026,88391,0
11512,1189608,667808
12013,1822807,1301007
12514,442309,0
13018,277562,0
13523,508947,0
14026,538444,16644
14539,87962,0
15045,66573,0
15548,35707,0
16054,53251,0
16539,387185,0
17054,50373,0
17560,39191,0
18018,39191,0
18524,32223,0
19022,108138,0
19522,568190,46390
20018,500758,0
20543,66716,0
21045,34836,0
21546,70751,0
22059,34074,0
22566,59560,0
23070,35326,0
23507,736957,215157
24007,1029061,507261
24532,1161020,639220
25030,1101758,579958
25538,1093920,572120
26043,1096533,574733
26542,1102385,580585
27061,961054,439254
27568,1090437,568637
28071,1098074,576274
28574,1090437,568637
29083,1102629,580829
29540,1120186,598386
30030,992073,470273
30550,260828,0
31063,45698,0
31566,46158,0
32071,37718,0
32583,26597,0
33094,30481,0
33552,36578,0
34058,32958,0
34566,33564,0
35077,30481,0
35588,31352,0
36095,36741,0
36581,436073,0
,,
,,
