Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
45,514034,16837
501,810520,313323
999,1691881,1194684
1499,2209216,1712019
2002,3450262,2953065
2506,3787877,3290680
3016,1547433,1050236
3541,138197,0
4044,854956,357759
4543,1228704,731507
5055,1115503,618306
5540,1913860,1416663
5999,563580,66383
6526,55406,0
7032,64742,0
7536,30951,0
8022,519753,22556
8553,27770,0
9064,31842,0
9514,67599,0
10010,276162,0
10531,121215,0
11035,34836,0
11517,993197,496000
12023,1471554,974357
12527,735354,238157
13030,836990,339793
13533,947107,449910
14045,32281,0
14550,22643,0
15053,27869,0
15553,25256,0
16057,56609,0
16561,32223,0
17067,57480,0
17519,40932,0
18027,24385,0
18532,29645,0
19036,36578,0
19541,29611,0
20049,32223,0
20555,41001,0
21066,19160,0
21565,33965,0
22069,19160,0
22576,45287,0
23083,37449,0
23538,34047,0
24041,37503,0
24547,36578,0
25052,40061,0
25556,33094,0
26068,43884,0
26573,214681,0
27087,113495,0
27551,39470,0
28061,47699,0
28569,28985,0
29077,41603,0
29578,44906,0
30087,42936,0
30598,35707,0
31055,53125,0
31558,99295,0
32069,33106,0
32576,75769,0
33077,106699,0
33587,49560,0
34094,33965,0
34609,32869,0
35109,29611,0
35568,33965,0
36074,33094,0
36559,507034,9837
,,
,,
,,
