Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
12,1295485,988166
489,883606,576287
998,1430318,1122999
1501,1571164,1263845
1997,2820850,2513531
2500,2975948,2668629
3005,2934190,2626871
3506,4312724,4005405
4008,3074186,2766867
4538,1676189,1368870
5022,1567598,1260279
5549,188905,0
6058,55876,0
6513,85757,0
7015,103203,0
7530,70080,0
8024,358504,51185
8546,22752,0
9037,584284,276965
9556,162869,0
10059,78554,0
10568,28740,0
11024,34836,0
11521,197489,0
12012,682400,375081
12512,563158,255839
13019,1156586,849267
13521,45155,0
14037,99229,0
14529,1297316,989997
15043,1049168,741849
15550,1136201,828882
16042,1079986,772667
16548,1076502,769183
17055,1104910,797591
17545,852859,545540
18042,1242521,935202
18547,1097719,790400
19071,1106428,799109
19506,1117907,810588
20012,1099460,792141
20515,1124003,816684
21021,682077,374758
21529,53576,0
22033,37472,0
22551,40096,0
23050,81000,0
23562,20901,0
24067,54677,0
24574,203855,0
25081,27869,0
25584,30481,0
26050,29611,0
26556,37449,0
27063,39861,0
27549,473226,165907
28075,45015,0
28585,26998,0
29093,60431,0
29555,61157,0
30058,41695,0
30561,54781,0
31069,62843,0
31573,47029,0
32090,48639,0
32598,29611,0
33057,35707,0
33565,31352,0
34074,42674,0
34580,26127,0
35092,36769,0
35597,41402,0
36105,30481,0
36597,659491,352172
,,
,,
,,
