Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
54,543170,35456
505,860711,352997
1011,1725174,1217460
1505,2321968,1814254
2008,3324394,2816680
2509,3098221,2590507
3012,1823930,1316216
3517,1336725,829011
4020,1130499,622785
4525,1147917,640203
5027,1120205,612491
5531,1201991,694277
6040,731936,224222
6569,39895,0
7027,38813,0
7516,582019,74305
8018,432149,0
8545,18300,0
9056,35306,0
9567,55738,0
10020,124770,0
10527,116891,0
11043,32822,0
11524,626921,119207
12025,91279,0
12533,74506,0
13033,91519,0
13547,14805,0
14049,60173,0
14555,14805,0
15053,20030,0
15547,141177,0
16058,20030,0
16565,25256,0
17068,39191,0
17574,21772,0
18028,28740,0
18531,42674,0
19038,30481,0
19541,43545,0
20050,22643,0
20553,38320,0
21057,26998,0
21566,31352,0
22073,31352,0
22574,38320,0
23079,29611,0
23584,21772,0
24037,45287,0
24544,34836,0
25052,26127,0
25559,32223,0
26071,43815,0
26577,31152,0
27074,221524,0
27594,34882,0
28100,38320,0
28561,35435,0
29068,40061,0
29573,27869,0
30079,32223,0
30586,39661,0
31099,35707,0
31604,373894,0
32062,34349,0
32553,517403,9689
33074,34836,0
33586,51356,0
34090,38320,0
34600,37048,0
35107,27869,0
35612,32223,0
36071,40061,0
36559,644128,136414
,,
,,
,,
