Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
80,1120440,616386
542,1035207,531153
1005,961577,457523
1496,1765051,1260997
2002,3323758,2819704
2495,2989113,2485059
2997,3475124,2971070
3498,2838256,2334202
4009,1251741,747687
4510,1332649,828595
5035,185040,0
5553,111925,0
6037,755411,251357
6559,1628688,1124634
7053,222692,0
7563,34836,0
8068,73764,0
8576,60257,0
9026,648815,144761
9543,85911,0
10042,83825,0
10552,33564,0
11061,37518,0
11551,367558,0
12059,559267,55213
12552,317727,0
13055,115623,0
13556,68337,0
14076,48846,0
14582,21772,0
15033,179770,0
15535,22643,0
16036,22443,0
16545,29994,0
17042,22643,0
17550,44280,0
18055,70720,0
18563,29611,0
19063,46866,0
19580,28740,0
20078,47298,0
20588,36177,0
21087,57217,0
21546,44634,0
22053,32223,0
22557,26127,0
23062,47431,0
23566,24385,0
24071,65007,0
24580,61147,0
25086,31352,0
25593,28740,0
26100,26127,0
26602,28740,0
27067,43164,0
27568,33094,0
28076,42944,0
28585,28740,0
29094,39460,0
29606,41402,0
30067,34945,0
30567,45826,0
31056,804292,300238
31556,1136258,632204
32085,1110537,606483
32579,1189947,685893
33090,1086953,582899
33592,1083959,579905
34093,1097404,593350
34601,910810,406756
35111,1089566,585512
35613,1141302,637248
36076,1148663,644609
36570,1106984,602930
,,
,,
