Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,1411875,1084989
488,1491379,1164493
999,1606101,1279215
1508,2466512,2139626
2015,2674445,2347559
2505,3042649,2715763
3013,2777356,2450470
3516,2645764,2318878
4018,2473682,2146796
4525,2753316,2426430
5025,2294166,1967280
5531,1476775,1149889
6038,450874,123988
6539,738519,411633
6992,573607,246721
7516,186392,0
8032,167455,0
8519,702669,375783
9042,25256,0
9530,837817,510931
10052,103399,0
10537,1276276,949390
11045,349090,22204
11544,239376,0
12002,104727,0
12521,35680,0
13019,43001,0
13520,32693,0
14028,33094,0
14514,782960,456074
15024,219982,0
15536,26127,0
16039,36687,0
16542,45757,0
17053,53996,0
17555,23514,0
18046,116726,0
18561,36377,0
19067,38790,0
19509,892674,565788
20017,1106145,779259
20531,343730,16844
21037,44285,0
21543,27869,0
22052,34836,0
22559,24875,0
23067,35707,0
23568,45556,0
24074,59961,0
24562,1333637,1006751
25030,60231,0
25540,33965,0
26047,40531,0
26554,36578,0
27063,47029,0
27571,35707,0
28077,184121,0
28581,211478,0
29040,37919,0
29525,1075514,748628
30051,34636,0
30557,43545,0
31068,33965,0
31571,45957,0
32057,1254766,927880
32583,32894,0
33069,372844,45958
33598,33094,0
34099,125964,0
34538,1283446,956560
35056,812602,485716
35564,384560,57674
36074,32223,0
36583,52772,0
37078,881921,555035
,,
,,
