Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
36,1647490,464049
497,766251,0
991,983121,0
1494,2047361,863920
1996,3399831,2216390
2498,4622571,3439130
3000,3319404,2135963
3504,2832378,1648937
4012,771866,0
4517,568381,0
5032,853184,0
5537,1536540,353099
6038,1149140,0
6550,84132,0
7039,616628,0
7495,989159,0
8011,95857,0
8519,306983,0
9016,427590,0
9526,39191,0
10029,82613,0
10538,79199,0
11041,64502,0
11533,602287,0
12032,927335,0
12533,734272,0
13036,735879,0
13543,237391,0
14065,42674,0
14562,50896,0
15063,90920,0
15565,59761,0
16018,42674,0
16524,41803,0
17023,59141,0
17513,1186258,2817
18032,92001,0
18541,529705,0
19045,40932,0
19548,51383,0
20056,36578,0
20563,47029,0
21066,41803,0
21566,50512,0
22027,57371,0
22518,1172231,0
23028,93222,0
23535,60104,0
24038,68747,0
24543,56609,0
25048,36388,0
25554,37449,0
26060,53153,0
26565,60855,0
27072,60092,0
27557,1301293,117852
28079,59244,0
28582,47029,0
29034,43545,0
29542,46975,0
30049,56609,0
30554,53996,0
31058,53125,0
31565,62705,0
32069,61834,0
32558,1297787,114346
33069,805459,0
33588,569143,0
34088,552596,0
34591,45614,0
35045,58351,0
35552,47029,0
36058,53996,0
36553,416425,0
,,
,,
,,
