Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
32,351511,0
476,836778,239405
971,1639038,1041665
1475,3920377,3323004
1980,4833743,4236370
2485,1669576,1072203
2988,5433387,4836014
3497,657558,60185
3992,3179952,2582579
4496,304096,0
5003,517669,0
5508,293568,0
6015,368376,0
6475,49722,0
6982,61158,0
7492,447896,0
7991,1027731,430358
8502,84868,0
9010,81155,0
9516,52346,0
10020,74153,0
10528,45379,0
10982,107699,0
11488,89864,0
11987,503994,0
12495,324268,0
12992,669459,72086
13496,524716,0
13997,243261,0
14499,37541,0
15003,47744,0
15506,28763,0
16009,31433,0
16511,28763,0
17018,42789,0
17521,312714,0
18025,732974,135601
18530,257017,0
19034,56701,0
19539,54835,0
19994,51475,0
20498,36612,0
21003,41884,0
21510,54993,0
22015,40130,0
22518,299766,0
23036,1162356,564983
23530,780313,182940
24037,351739,0
24541,53879,0
25046,49745,0
25500,32269,0
26011,47143,0
26514,56746,0
27020,47969,0
27527,361363,0
28034,113310,0
28540,68114,0
29044,55853,0
29550,60893,0
30054,310013,0
30509,50604,0
31014,59336,0
31518,1143080,545707
32026,54993,0
32529,960092,362719
33035,1117027,519654
33542,59325,0
34047,72423,0
34554,114372,0
35060,48885,0
35519,51521,0
36023,61101,0
36523,438506,0
,,
,,
