Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
5,1191170,776948
487,1785680,1371458
984,1831758,1417536
1487,2028582,1614360
1988,4122902,3708680
2490,3645063,3230841
2992,3436423,3022201
3502,1158362,744140
3997,1599686,1185464
4519,1574795,1160573
5012,1918179,1503957
5533,99867,0
6039,82897,0
6544,73168,0
7049,60963,0
7543,1236448,822226
8007,75792,0
8513,43545,0
9019,57480,0
9521,86240,0
10025,88063,0
10533,66189,0
11042,74926,0
11554,74027,0
12029,1505335,1091113
12528,1512244,1098022
13041,648856,234634
13551,45379,0
14052,42674,0
14556,33094,0
15058,36578,0
15562,33965,0
16012,37449,0
16516,36660,0
17010,219974,0
17509,1200755,786533
18034,1206743,792521
18533,542251,128029
19043,49641,0
19542,41803,0
20045,37449,0
20549,44416,0
21052,43545,0
21558,41803,0
22062,40061,0
22554,1329974,915752
23062,364597,0
23526,33094,0
24018,257582,0
24533,70139,0
25043,47029,0
25544,55738,0
26041,917772,503550
26559,51967,0
27064,46267,0
27551,1387020,972798
28069,485816,71594
28575,511589,97367
29085,48771,0
29536,53996,0
30041,48771,0
30545,47029,0
31049,63576,0
31553,56609,0
32045,552097,137875
32546,1735042,1320820
33043,1478052,1063830
33550,1163666,749444
34054,1114109,699887
34558,1139680,725458
35064,1109597,695375
35567,1329579,915357
36022,971847,557625
36524,1834902,1420680
,,
,,
