Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
52,402933,0
506,822493,416149
1003,1358130,951786
1514,2921918,2515574
2011,3886256,3479912
2514,2084026,1677682
3024,1969813,1563469
3531,934087,527743
4034,621923,215579
4526,2407628,2001284
5055,933055,526711
5537,655985,249641
6045,236256,0
6520,103467,0
7025,39236,0
7533,32223,0
8020,401525,0
8545,108509,0
9044,245438,0
9557,80462,0
10067,27869,0
10523,54535,0
11033,36578,0
11540,191636,0
12042,87538,0
12535,303948,0
13038,133221,0
13540,75350,0
14059,29611,0
14559,28740,0
15060,17418,0
15564,23514,0
16064,23514,0
16567,31352,0
17070,25256,0
17525,32223,0
18032,29611,0
18535,33965,0
19042,33094,0
19547,35707,0
20052,36578,0
20558,36578,0
21062,24385,0
21569,28740,0
22073,37449,0
22580,35730,0
23093,64654,0
23540,30481,0
24054,39191,0
24559,35435,0
25064,34714,0
25571,40601,0
26071,119919,0
26581,176484,0
27089,38320,0
27602,88708,0
28056,35707,0
28565,30481,0
29075,35707,0
29579,40689,0
30085,48169,0
30599,47837,0
31057,38320,0
31560,211991,0
32071,54604,0
32583,63576,0
33084,40944,0
33592,38320,0
34106,35707,0
34617,40732,0
35072,47853,0
35584,45156,0
36089,33765,0
36589,269645,0
,,
,,
