Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
51,190897,0
507,1894112,1577924
992,1408602,1092414
1496,1580198,1264010
1997,1536720,1220532
2499,2696695,2380507
3004,2799516,2483328
3504,2488784,2172596
4008,3049623,2733435
4509,1289756,973568
5137,1630293,1314105
5492,2118148,1801960
5998,1708213,1392025
6490,988068,671880
6992,2663902,2347714
7495,2252149,1935961
8010,182775,0
8535,94901,0
9046,26998,0
9551,29210,0
10049,427503,111315
10551,475832,159644
11004,359064,42876
11494,861332,545144
11993,1154531,838343
12504,1440573,1124385
13002,806243,490055
13504,717009,400821
14006,788710,472522
14508,992979,676791
15032,56758,0
15530,46238,0
16037,23623,0
16528,292914,0
17037,93496,0
17531,487566,171378
18050,72285,0
18552,44416,0
19060,38320,0
19562,36578,0
20023,36197,0
20505,602287,286099
21032,18643,0
21556,60975,0
22065,26835,0
22566,32223,0
23024,29611,0
23527,23984,0
24032,33094,0
24528,408695,92507
25042,43580,0
25552,39460,0
26059,60092,0
26545,645308,329120
27048,894351,578163
27561,817390,501202
28079,27869,0
28584,44485,0
29040,30481,0
29547,55406,0
30040,387185,70997
30560,69822,0
31068,30951,0
31564,548433,232245
32077,81075,0
32582,158972,0
33093,51452,0
33549,35463,0
34057,37449,0
34559,48076,0
35071,33094,0
35577,61703,0
36064,1111865,795677
36560,1546716,1230528
37063,1328034,1011846
,,
,,
