Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
41,564684,41882
503,918566,395764
1005,2016504,1493702
1512,2037187,1514385
2015,1852062,1329260
2509,3068425,2545623
3013,2268626,1745824
3541,1290569,767767
4032,1097146,574344
4546,411641,0
5051,71678,0
5548,357679,0
5998,447424,0
6523,83132,0
7038,46897,0
7542,27468,0
8031,309467,0
8554,109380,0
9057,122899,0
9577,98489,0
10032,22643,0
10541,69610,0
11050,45614,0
11562,148677,0
12039,582204,59402
12540,98834,0
13046,53475,0
13561,11333,0
14066,24385,0
14567,22643,0
15069,26127,0
15571,22643,0
16072,23514,0
16575,16547,0
17080,43545,0
17535,37449,0
18046,29611,0
18553,46697,0
19052,30865,0
19557,36578,0
20067,18289,0
20571,36061,0
21071,38320,0
21576,30481,0
22082,25256,0
22587,26998,0
23092,37449,0
23546,33965,0
24055,38320,0
24556,47492,0
25061,52323,0
25566,28740,0
26082,34636,0
26594,22643,0
27103,36647,0
27566,33965,0
28083,46158,0
28582,32894,0
29090,33094,0
29592,51922,0
30099,29611,0
30607,49579,0
31115,34836,0
31565,290198,0
32077,69009,0
32568,821623,298821
33070,39213,0
33580,51418,0
34105,39895,0
34614,58420,0
35124,40061,0
35578,38320,0
36085,32223,0
36579,339700,0
37090,1026787,503985
,,
,,
,,
