Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,1063055,564438
495,833382,334765
993,1522941,1024324
1501,2274628,1776011
2022,1865553,1366936
2530,44155,0
3017,1461287,962670
3519,1397063,898446
4014,2725161,2226544
4516,2062289,1563672
5020,1071958,573341
5524,2552118,2053501
6028,1965139,1466522
6529,2070156,1571539
7036,1871546,1372929
7496,1431225,932608
8027,111912,0
8534,34836,0
9031,425198,0
9546,259677,0
10056,61468,0
10568,32223,0
11047,587947,89330
11502,863917,365300
12000,1152804,654187
12505,139796,0
13004,73597,0
13521,14805,0
14020,530116,31499
14525,21795,0
15023,111877,0
15530,34836,0
16032,134611,0
16544,20901,0
17048,37449,0
17554,18289,0
18059,22643,0
18564,26127,0
19069,26127,0
19525,26998,0
20032,16547,0
20536,32223,0
21042,25256,0
21548,32235,0
22040,344164,0
22562,26127,0
23066,43545,0
23574,18289,0
24077,49641,0
24532,45287,0
25034,55080,0
25544,40932,0
26057,26127,0
26565,54667,0
27070,37117,0
27579,27625,0
28104,46022,0
28593,45356,0
29061,44886,0
29562,35776,0
30067,41341,0
30576,33965,0
31087,52192,0
31589,46628,0
32096,89849,0
32553,167906,0
33067,47900,0
33575,47628,0
34079,37919,0
34586,37919,0
35098,37449,0
35603,37718,0
36110,37939,0
36616,528120,29503
,,
,,
