Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
30,597119,0
517,271894,0
1000,1633933,994086
1505,2011571,1371724
2019,1264184,624337
2511,2482421,1842574
3015,2520607,1880760
3515,2666165,2026318
4025,1328439,688592
4523,5096771,4456924
5015,3289466,2649619
5523,1935840,1295993
6025,313691,0
6544,151768,0
7044,76651,0
7560,177999,0
8040,882351,242504
8556,135260,0
9057,68802,0
9510,101979,0
10015,81911,0
10525,146572,0
11000,1102735,462888
11504,367880,0
12008,282519,0
12513,217947,0
13025,338839,0
13535,85649,0
14042,97570,0
14538,99230,0
15040,131853,0
15549,85921,0
16045,100428,0
16554,109942,0
17058,76150,0
17561,72231,0
18047,752859,113012
18567,73402,0
19021,98196,0
19525,102660,0
20028,108239,0
20532,122746,0
21037,74898,0
21540,87791,0
22046,60092,0
22552,68802,0
23059,61834,0
23560,73156,0
24063,84758,0
24567,94311,0
25076,115036,0
25528,98633,0
26040,71414,0
26543,106320,0
27045,131509,0
27548,113025,0
28054,122204,0
28557,70543,0
29065,74027,0
29570,89269,0
30081,74898,0
30581,74898,0
31085,104253,0
31525,939282,299435
32046,83287,0
32541,176579,0
33051,104716,0
33558,91500,0
34060,72285,0
34565,71414,0
35055,1103014,463167
35549,1497484,857637
36060,1313274,673427
36569,505441,0
,,
,,
,,
