Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
18,1247184,661820
498,580560,0
1001,1541487,956123
1495,1387963,802599
2010,3217087,2631723
2499,2442010,1856646
3003,2253705,1668341
3507,3119938,2534574
4007,3740537,3155173
4511,3263000,2677636
5012,2645023,2059659
5517,2431560,1846196
6018,2267932,1682568
6519,3569954,2984590
7040,1143835,558471
7558,1080694,495330
8058,174733,0
8567,101634,0
8997,788710,203346
9527,74038,0
10020,428788,0
10523,171720,0
11027,261144,0
11513,728648,143284
12019,860797,275433
12525,241013,0
13027,239673,0
13540,73025,0
14032,448830,0
14548,69672,0
15042,168182,0
15551,98196,0
16043,318470,0
16553,150660,0
17050,305337,0
17565,116050,0
18001,677495,92131
18523,67931,0
19012,273321,0
19526,106920,0
20026,285638,0
20538,82574,0
21031,302054,0
21550,96208,0
22043,275788,0
22556,67060,0
23056,298771,0
23565,91501,0
24056,508674,0
24574,69863,0
25071,285638,0
25526,134460,0
26044,100963,0
26546,113819,0
27046,186195,0
27560,90471,0
28048,338169,0
28569,92562,0
29064,240136,0
29573,101544,0
30069,218695,0
30581,155871,0
31076,341452,0
31590,120593,0
32081,364435,0
32546,122207,0
33053,128100,0
33555,107123,0
34062,108921,0
34558,295488,0
35067,127622,0
35579,115069,0
36064,1058049,472685
36560,1651798,1066434
,,
,,
,,
