Time  [ms],Battery Power* [uW] (Raw),Battery Power* [uW] (Delta)
16,2563080,1518660
484,2351443,1307023
992,2102165,1057745
1497,3885201,2840781
1991,4873268,3828848
2492,2067489,1023069
2995,2675392,1630972
3501,1824591,780171
4002,2235132,1190712
4504,2640602,1596182
5007,2369602,1325182
5508,2824756,1780336
6029,1529356,484936
6533,337728,0
7042,104892,0
7549,77511,0
8050,152076,0
8504,149430,0
9010,93623,0
9516,118744,0
10013,233820,0
10516,219192,0
11031,91480,0
11528,87962,0
12006,1106081,61661
12510,1012605,0
13014,949813,0
13513,899297,0
14015,1093360,48940
14534,112272,0
15021,867581,0
15540,81865,0
16044,77511,0
16545,72285,0
17037,463791,0
17559,143983,0
18058,92617,0
18520,67931,0
19020,93733,0
19511,552097,0
20024,79045,0
20532,95665,0
21041,70543,0
21547,80994,0
22046,78382,0
22554,110011,0
23055,87962,0
23558,81865,0
24052,279071,0
24569,60963,0
25005,989472,0
25523,108004,0
26033,102442,0
26548,112578,0
27043,72285,0
27539,91501,0
28048,119121,0
28557,95453,0
29060,96943,0
29565,98196,0
30075,86220,0
30578,90085,0
31077,120462,0
31563,1430493,386073
32088,110907,0
32542,106146,0
33047,144315,0
33551,73156,0
34060,129090,0
34547,658285,0
35050,776532,0
35556,1439123,394703
36058,1101380,56960
36560,1342560,298140
37061,1758762,714342
37564,1320893,276473
38067,1096710,52290
38569,1071850,27430
,,
,,
